match_key,market_key,family,selection,point,team_side,best_price,consensus_fair_odds,books,sources,snapshots_count,dispersion_pct,steam_score
soccer|america|cabofriense rj|2026-06-10,spreads|america|-0.50|home,spreads,America,-0.5,home,2.18,2.1652,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.64,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|0.50|away,spreads,Cabofriense RJ,0.5,away,3.55,2.3747,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,27.387,
soccer|america|cabofriense rj|2026-06-10,spreads|america|0.50|home,spreads,America,0.5,home,1.29,1.2826,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.912,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-0.50|away,spreads,Cabofriense RJ,-0.5,away,4.06,2.3896,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,35.071,
soccer|america|cabofriense rj|2026-06-10,doubleChance|1x||,doubleChance,1X,,,1.29,1.2555,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.448,
soccer|america|cabofriense rj|2026-06-10,doubleChance|12||,doubleChance,12,,,1.44,1.3799,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,6.313,
soccer|america|cabofriense rj|2026-06-10,doubleChance|x2||,doubleChance,X2,,,1.8,1.6369,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,11.559,
soccer|america|cabofriense rj|2026-06-10,totals|over|1.50|,totals,Over,1.5,,1.62,1.5907,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,2.374,
soccer|america|cabofriense rj|2026-06-10,totals|under|1.50|,totals,Under,1.5,,2.42,2.2988,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.549,
soccer|america|cabofriense rj|2026-06-10,spreads|america|1.75|home,spreads,America,1.75,home,1.03,1.03,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-1.75|away,spreads,Cabofriense RJ,-1.75,away,11.82,11.82,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|3.25|home,spreads,America,3.25,home,1.03,1.03,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-3.25|away,spreads,Cabofriense RJ,-3.25,away,11.82,11.82,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|1.50|home,spreads,America,1.5,home,1.06,1.06,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-1.50|away,spreads,Cabofriense RJ,-1.5,away,11.82,11.82,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|3.50|home,spreads,America,3.5,home,1.02,1.02,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-3.50|away,spreads,Cabofriense RJ,-3.5,away,11.82,11.82,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|1.25|home,spreads,America,1.25,home,1.07,1.07,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-1.25|away,spreads,Cabofriense RJ,-1.25,away,10.86,10.86,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|2.50|home,spreads,America,2.5,home,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-2.50|away,spreads,Cabofriense RJ,-2.5,away,11.82,11.82,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|3.00|home,spreads,America,3.0,home,1.03,1.03,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-3.00|away,spreads,Cabofriense RJ,-3.0,away,11.82,11.82,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|1.00|home,spreads,America,1.0,home,1.29,1.1757,"[""Betfair Exchange""]","[""odds_api_io""]",2,15.073,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|-1.00|away,spreads,Cabofriense RJ,-1.0,away,11.5,10.646,"[""Betfair Exchange""]","[""odds_api_io""]",2,1.395,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-2.50|home,spreads,America,-2.5,home,15.17,15.17,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|2.50|away,spreads,Cabofriense RJ,2.5,away,1.05,1.05,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-2.25|home,spreads,America,-2.25,home,14.23,14.23,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|2.25|away,spreads,Cabofriense RJ,2.25,away,1.06,1.06,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-2.75|home,spreads,America,-2.75,home,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|2.75|away,spreads,Cabofriense RJ,2.75,away,1.02,1.02,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-2.00|home,spreads,America,-2.0,home,13.3,13.3,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|2.00|away,spreads,Cabofriense RJ,2.0,away,1.06,1.06,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|5.50|,totals,Over,5.5,,46.0,46.0,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|5.50|,totals,Under,5.5,,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|5.25|,totals,Over,5.25,,45.22,45.22,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|5.25|,totals,Under,5.25,,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|4.75|,totals,Over,4.75,,25.43,25.43,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|4.75|,totals,Under,4.75,,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|4.25|,totals,Over,4.25,,17.12,17.12,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|4.25|,totals,Under,4.25,,1.05,1.05,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
