match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|gazalkent|shurtan|2026-06-10,odds_api_io,70314494,soccer,Uzbekistan - Pro Liga,Shurtan,FK Gazalkent,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Uzbekistan - Pro Liga"", ""odds_api_io_id"": 70314494, ""raw_event"": {""away"": ""FK Gazalkent"", ""awayId"": 1332862, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""Shurtan"", ""homeId"": 40262, ""id"": 70314494, ""league"": {""name"": ""Uzbekistan - Pro Liga"", ""slug"": ""uzbekistan-pro-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Shurtan,home,home,-0.75,,Bet365,odds_api_io,50.9,50.16,50.0,,,53.09,,,market_simple_spreads,14.63,,,,market_signal,,insufficient_history,,,,,,
soccer|caps united|chicken inn|2026-06-10,odds_api_io,67563364,soccer,Zimbabwe - Premier Soccer League,Chicken Inn,Caps United FC,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563364, ""raw_event"": {""away"": ""Caps United FC"", ""awayId"": 317569, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""Chicken Inn"", ""homeId"": 421531, ""id"": 67563364, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Chicken Inn,home,home,-0.25,,Bet365,odds_api_io,41.52,40.78,40.62,,,54.35,,,market_simple_spreads,33.644,,,,market_signal,,insufficient_history,,,,,,
soccer|dynamos harare|hunters|2026-06-10,odds_api_io,67563352,soccer,Zimbabwe - Premier Soccer League,Dynamos Harare FC,FC Hunters,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563352, ""raw_event"": {""away"": ""FC Hunters"", ""awayId"": 1316454, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""Dynamos Harare FC"", ""homeId"": 332407, ""id"": 67563352, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,FC Hunters,away,away,-0.5,,Bet365,odds_api_io,33.69,32.95,32.79,,,55.09,,,market_simple_spreads,56.017,,,,market_signal,,insufficient_history,,,,,,
soccer|hardrock|platinum|2026-06-10,odds_api_io,67563358,soccer,Zimbabwe - Premier Soccer League,FC Platinum,Hardrock FC,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563358, ""raw_event"": {""away"": ""Hardrock FC"", ""awayId"": 1316452, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""FC Platinum"", ""homeId"": 412665, ""id"": 67563358, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|manica diamonds|mwos|2026-06-10,odds_api_io,67563354,soccer,Zimbabwe - Premier Soccer League,Mwos FC,Manica Diamonds FC,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563354, ""raw_event"": {""away"": ""Manica Diamonds FC"", ""awayId"": 551821, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""Mwos FC"", ""homeId"": 1234211, ""id"": 67563354, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Mwos FC,home,home,-1.75,,Bet365,odds_api_io,29.07,28.33,28.17,,,53.09,,,market_simple_spreads,14.917,,,,market_signal,,insufficient_history,,,,,,
soccer|ngezi platinum|simba bhora|2026-06-10,odds_api_io,67563356,soccer,Zimbabwe - Premier Soccer League,Simba Bhora FC,Ngezi Platinum,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563356, ""raw_event"": {""away"": ""Ngezi Platinum"", ""awayId"": 317869, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""Simba Bhora FC"", ""homeId"": 993217, ""id"": 67563356, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|herentals|zpc kariba|2026-06-10,odds_api_io,67563362,soccer,Zimbabwe - Premier Soccer League,ZPC Kariba,Herentals FC,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563362, ""raw_event"": {""away"": ""Herentals FC"", ""awayId"": 421535, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""ZPC Kariba"", ""homeId"": 421547, ""id"": 67563362, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|osters|trelleborgs|2026-06-10,day_inventory,71891646,soccer,International Clubs - Club Friendly Games,Trelleborgs,Osters,2026-06-10T13:30:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": false, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-06-10.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": null, ""last_fixture_refresh_utc"": ""2026-06-09T22:09:21.031664+00:00"", ""last_odds_refresh_utc"": null}, ""day_inventory_source_ids"": {""day_inventory"": ""71891646"", ""odds_api_io"": ""71891646"", ""sstats"": ""1548695""}, ""fixture_sources_count"": 1, ""independent_odds_sources_count"": 0, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""71891646"", ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-06-10T07:15:59.214371+00:00""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|damash|shahr e babak|2026-06-10,odds_api_io,70945240,soccer,Iran - Azadegan League,Damash,Shahr-e Babak,2026-06-10T13:30:00+00:00,mid,"{""competition"": ""Iran - Azadegan League"", ""odds_api_io_id"": 70945240, ""raw_event"": {""away"": ""Shahr-e Babak"", ""awayId"": 494590, ""date"": ""2026-06-10T13:30:00Z"", ""home"": ""Damash"", ""homeId"": 53699, ""id"": 70945240, ""league"": {""name"": ""Iran - Azadegan League"", ""slug"": ""iran-azadegan-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Damash,home,home,0.75,,Bet365,odds_api_io,50.28,49.54,49.38,,,53.09,,,market_simple_spreads,14.635,,,,market_signal,,insufficient_history,,,,,,
soccer|olomouc b|trinec|2026-06-10,odds_api_io,66053776,soccer,Czechia - MSFL,Olomouc B,Trinec,2026-06-10T14:00:00+00:00,mid,"{""competition"": ""Czechia - MSFL"", ""odds_api_io_id"": 66053776, ""raw_event"": {""away"": ""Trinec"", ""awayId"": 6068, ""date"": ""2026-06-10T14:00:00Z"", ""home"": ""Olomouc B"", ""homeId"": 4867, ""id"": 66053776, ""league"": {""name"": ""Czechia - MSFL"", ""slug"": ""czechia-msfl""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|kuopion palloseura|vaasa|2026-06-10,odds_api_io,71895968,soccer,Finland - Suomen Cup,Kuopion Palloseura,Vaasa,2026-06-10T14:00:00+00:00,mid,"{""competition"": ""Finland - Suomen Cup"", ""odds_api_io_id"": 71895968, ""raw_event"": {""away"": ""Vaasa"", ""awayId"": 2246, ""date"": ""2026-06-10T14:00:00Z"", ""home"": ""Kuopion Palloseura"", ""homeId"": 2244, ""id"": 71895968, ""league"": {""name"": ""Finland - Suomen Cup"", ""slug"": ""finland-suomen-cup""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Kuopion Palloseura,home,home,-1.75,,Betfair Exchange,odds_api_io,84.27,82.09,80.47,,,66.28,,,market_derived_spreads,318.003,,,,market_signal,,insufficient_history,,,,,,
