polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,prob:60-65,8,0.1303,46.62,75.0,0.6197
positive,league:other,13,0.073,56.38,61.54,0.5424
positive,context:ensemble,44,0.0253,19.2,52.27,0.4974
positive,family:dnb,8,0.0156,25.88,50.0,0.4844
negative,prob:50-55,15,-0.1889,-28.8,33.33,0.5222
negative,context:clubelo,24,-0.1247,-14.25,37.5,0.4997
negative,family:btts,13,-0.1136,-20.15,38.46,0.4982
negative,league:secondary,23,-0.1004,-14.43,39.13,0.4917
negative,market:btts:yes,12,-0.0866,-13.5,41.67,0.5032
negative,bookmaker:bet365,38,-0.0764,-4.18,42.11,0.4974
negative,family:totals,45,-0.0621,3.47,44.44,0.5066
negative,odds:2.05-2.74,43,-0.0608,-4.16,41.86,0.4794
negative,prob:45-50,17,-0.0595,-7.35,41.18,0.4713
negative,league:preferred,35,-0.0579,-6.06,42.86,0.4865
negative,odds:1.70-2.04,18,-0.0462,4.39,55.56,0.6018
negative,market:totals:under,43,-0.0402,8.28,46.51,0.5053
negative,bookmaker:unibet,9,-0.0311,12.89,44.44,0.4755
negative,bookmaker:betfair exchange,21,-0.0254,14.57,47.62,0.5016
negative,prob:40-45,17,-0.0158,1.24,41.18,0.4276
