match_key,market_key,provider,bookmaker,family,selection,price,observed_at,point,team_side,source_event_id,metadata,schema_version
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,spreads|daejeon hana citizen|-0.50|away,odds_api_io,Unibet,spreads,Daejeon Hana Citizen,3.3,2026-07-21T01:09:36.675488+00:00,-0.5,away,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,spreads|jeonbuk hyundai motors|1.50|home,odds_api_io,Unibet,spreads,Jeonbuk Hyundai Motors,1.06,2026-07-21T01:09:36.675488+00:00,1.5,home,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,spreads|daejeon hana citizen|-1.50|away,odds_api_io,Unibet,spreads,Daejeon Hana Citizen,6.75,2026-07-21T01:09:36.675488+00:00,-1.5,away,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|over|2.50|,odds_api_io,Unibet,totals,Over,1.86,2026-07-21T01:09:36.675488+00:00,2.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|under|2.50|,odds_api_io,Unibet,totals,Under,1.78,2026-07-21T01:09:36.675488+00:00,2.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|over|3.50|,odds_api_io,Unibet,totals,Over,3.2,2026-07-21T01:09:36.675488+00:00,3.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|under|3.50|,odds_api_io,Unibet,totals,Under,1.27,2026-07-21T01:09:36.675488+00:00,3.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|over|1.50|,odds_api_io,Unibet,totals,Over,1.25,2026-07-21T01:09:36.675488+00:00,1.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|under|1.50|,odds_api_io,Unibet,totals,Under,3.3,2026-07-21T01:09:36.675488+00:00,1.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|over|4.50|,odds_api_io,Unibet,totals,Over,5.8,2026-07-21T01:09:36.675488+00:00,4.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,totals|under|4.50|,odds_api_io,Unibet,totals,Under,1.07,2026-07-21T01:09:36.675488+00:00,4.5,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,btts|yes||,odds_api_io,Unibet,btts,Yes,1.7,2026-07-21T01:09:36.675488+00:00,,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,btts|no||,odds_api_io,Unibet,btts,No,1.91,2026-07-21T01:09:36.675488+00:00,,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,teamTotals|over|1.50|home,odds_api_io,Unibet,teamTotals,Over,1.95,2026-07-21T01:09:36.675488+00:00,1.5,home,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,teamTotals|under|1.50|home,odds_api_io,Unibet,teamTotals,Under,1.67,2026-07-21T01:09:36.675488+00:00,1.5,home,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,teamTotals|over|0.50|away,odds_api_io,Unibet,teamTotals,Over,1.38,2026-07-21T01:09:36.675488+00:00,0.5,away,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,teamTotals|under|0.50|away,odds_api_io,Unibet,teamTotals,Under,2.6,2026-07-21T01:09:36.675488+00:00,0.5,away,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,h2h|jeonbuk hyundai motors||,odds_api_io,Betfair Exchange,h2h,Jeonbuk Hyundai Motors,2.06,2026-07-21T01:09:36.675488+00:00,,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account2"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Betfair Exchange,Sbobet""}",1
soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,h2h|draw||,odds_api_io,Betfair Exchange,h2h,Draw,3.6,2026-07-21T01:09:36.675488+00:00,,,soccer|daejeon hana citizen|jeonbuk hyundai motors|2026-07-21,"{""daily_coverage_cache_reused"": true, ""fetched_at_utc"": ""2026-07-21T01:09:36.675488+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account2"", ""odds_api_io_full_data_checked"": true, ""odds_api_io_movements_rows"": 0, ""odds_api_io_updated_rows_count"": 0, ""requested_bookmakers"": ""Betfair Exchange,Sbobet""}",1
