match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|polessya|zorya luhansk|2026-05-18,day_inventory,soccer|polessya|zorya luhansk|2026-05-18,soccer,Unknown,Zorya Luhansk,Polessya,2026-05-18T10:00:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 1, ""context_sources_count"": 1, ""core_inventory"": true, ""core_provider_inventory_bridge_updated_utc"": ""2026-05-17T21:01:30.420013+00:00"", ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": true, ""context_2plus_sources"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""ready_for_model"": true, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-05-18.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-05-17T23:10:51.851175+00:00"", ""last_fixture_refresh_utc"": ""2026-05-17T21:01:30.407663+00:00"", ""last_odds_refresh_utc"": ""2026-05-17T23:10:51.851175+00:00""}, ""day_inventory_source_ids"": {""day_inventory"": ""soccer|polessya|zorya luhansk|2026-05-18"", ""sstats"": ""1396819""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""soccer|polessya|zorya luhansk|2026-05-18"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 1, ""price_sources_count"": 1, ""provider_source_ids"": {""sstats"": ""1396819""}, ""source_evidence_updated_utc"": ""2026-05-18T05:10:49.020191+00:00"", ""sources_seen"": ""sstats"", ""sstats_has_context_hint"": true, ""sstats_status"": ""2""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|brunswick juventus|ringwood city|2026-05-18,day_inventory,71066328,soccer,"Australia - Victoria Premier League, Women",Ringwood City FC,Brunswick Juventus FC,2026-05-18T10:30:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""fixture_core"": true, ""form"": false, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-05-18.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": null, ""last_fixture_refresh_utc"": ""2026-05-17T23:10:35.882507+00:00"", ""last_odds_refresh_utc"": null}, ""day_inventory_source_ids"": {""day_inventory"": ""71066328"", ""odds_api_io"": ""71066328""}, ""fixture_sources_count"": 1, ""independent_odds_sources_count"": 0, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""71066328"", ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-18T05:10:49.020191+00:00""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|arsenal dzerzhinsk 2|slavia mozyr 2|2026-05-18,odds_api_io,71534494,soccer,Belarus - Vtoraya Liga,FK Arsenal Dzerzhinsk 2,Slavia Mozyr 2,2026-05-18T11:00:00+00:00,mid,"{""competition"": ""Belarus - Vtoraya Liga"", ""odds_api_io_id"": 71534494, ""raw_event"": {""away"": ""Slavia Mozyr 2"", ""awayId"": 1120673, ""date"": ""2026-05-18T11:00:00Z"", ""home"": ""FK Arsenal Dzerzhinsk 2"", ""homeId"": 1120671, ""id"": 71534494, ""league"": {""name"": ""Belarus - Vtoraya Liga"", ""slug"": ""belarus-vtoraya-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|kairat|kaspiy aktau|2026-05-18,day_inventory,71542784,soccer,"Kazakhstan - Premier League, Women",FC Kairat,FC Kaspiy Aktau,2026-05-18T11:00:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""fixture_core"": true, ""form"": false, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-05-18.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": null, ""last_fixture_refresh_utc"": ""2026-05-17T23:10:35.882613+00:00"", ""last_odds_refresh_utc"": null}, ""day_inventory_source_ids"": {""day_inventory"": ""71542784"", ""odds_api_io"": ""71542784""}, ""fixture_sources_count"": 1, ""independent_odds_sources_count"": 0, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""71542784"", ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-18T05:10:49.020191+00:00""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|al hikma|jwaaya|2026-05-18,day_inventory,soccer|al hikma|jwaaya|2026-05-18,soccer,Unknown,Jwaaya FC,Al Hikma,2026-05-18T11:00:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 1, ""context_sources_count"": 1, ""core_inventory"": true, ""core_provider_inventory_bridge_updated_utc"": ""2026-05-17T21:01:30.420013+00:00"", ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": true, ""context_2plus_sources"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""ready_for_model"": true, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-05-18.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-05-17T23:10:51.851175+00:00"", ""last_fixture_refresh_utc"": ""2026-05-17T21:01:30.407828+00:00"", ""last_odds_refresh_utc"": ""2026-05-17T23:10:51.851175+00:00""}, ""day_inventory_source_ids"": {""day_inventory"": ""soccer|al hikma|jwaaya|2026-05-18"", ""sstats"": ""1544680""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""soccer|al hikma|jwaaya|2026-05-18"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 1, ""price_sources_count"": 1, ""provider_source_ids"": {""sstats"": ""1544680""}, ""source_evidence_updated_utc"": ""2026-05-18T05:10:49.020191+00:00"", ""sources_seen"": ""sstats"", ""sstats_has_context_hint"": true, ""sstats_status"": ""2""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|pakhtakor|termez surkhon|2026-05-18,odds_api_io,71546880,soccer,Uzbekistan - Cup,FK Termez Surkhon,Pakhtakor,2026-05-18T11:00:00+00:00,mid,"{""competition"": ""Uzbekistan - Cup"", ""odds_api_io_id"": 71546880, ""raw_event"": {""away"": ""Pakhtakor"", ""awayId"": 34310, ""date"": ""2026-05-18T11:00:00Z"", ""home"": ""FK Termez Surkhon"", ""homeId"": 424837, ""id"": 71546880, ""league"": {""name"": ""Uzbekistan - Cup"", ""slug"": ""uzbekistan-cup""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|navbahor|xorazm urganch|2026-05-18,odds_api_io,71546860,soccer,Uzbekistan - Cup,Xorazm Fk Urganch,Navbahor,2026-05-18T11:00:00+00:00,mid,"{""competition"": ""Uzbekistan - Cup"", ""odds_api_io_id"": 71546860, ""raw_event"": {""away"": ""Navbahor"", ""awayId"": 40263, ""date"": ""2026-05-18T11:00:00Z"", ""home"": ""Xorazm Fk Urganch"", ""homeId"": 40260, ""id"": 71546860, ""league"": {""name"": ""Uzbekistan - Cup"", ""slug"": ""uzbekistan-cup""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|sportivo luqueno|sportivo san lorenzo|2026-05-18,day_inventory,71474762,soccer,"Paraguay - Primera Division Reserve, Apertura",Sportivo San Lorenzo,Sportivo Luqueno,2026-05-18T11:30:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""fixture_core"": true, ""form"": false, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-05-18.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": null, ""last_fixture_refresh_utc"": ""2026-05-17T23:10:35.882869+00:00"", ""last_odds_refresh_utc"": null}, ""day_inventory_source_ids"": {""day_inventory"": ""71474762"", ""odds_api_io"": ""71474762""}, ""fixture_sources_count"": 1, ""independent_odds_sources_count"": 0, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""71474762"", ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-18T05:10:49.020191+00:00""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|hougang united|tanjong pagar united|2026-05-18,odds_api_io,67699618,soccer,Singapore - Premier League,Tanjong Pagar United,Hougang United FC,2026-05-18T11:30:00+00:00,mid,"{""competition"": ""Singapore - Premier League"", ""odds_api_io_id"": 67699618, ""raw_event"": {""away"": ""Hougang United FC"", ""awayId"": 34083, ""date"": ""2026-05-18T11:30:00Z"", ""home"": ""Tanjong Pagar United"", ""homeId"": 3038, ""id"": 67699618, ""league"": {""name"": ""Singapore - Premier League"", ""slug"": ""singapore-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|hayq|mika yerevan|2026-05-18,odds_api_io,71360492,soccer,Armenia - First League,FC Hayq,FC Mika Yerevan,2026-05-18T12:00:00+00:00,mid,"{""competition"": ""Armenia - First League"", ""odds_api_io_id"": 71360492, ""raw_event"": {""away"": ""FC Mika Yerevan"", ""awayId"": 5229, ""date"": ""2026-05-18T12:00:00Z"", ""home"": ""FC Hayq"", ""homeId"": 1272142, ""id"": 71360492, ""league"": {""name"": ""Armenia - First League"", ""slug"": ""armenia-first-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
