polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,family:dnb,8,0.1129,65.92,50.0,0.3871
positive,odds:1.70-2.04,9,0.0894,36.76,66.67,0.5772
positive,family:h2h,12,0.0588,-20.95,41.67,0.3579
positive,bookmaker:unibet,11,0.0214,-5.37,45.45,0.4332
positive,market:h2h:away,8,0.0131,-41.12,37.5,0.3619
negative,league:other,13,-0.1253,10.22,30.77,0.4329
negative,context:ensemble,18,-0.0677,30.15,38.89,0.4566
negative,league:preferred,14,-0.0534,-29.28,42.86,0.482
negative,family:totals,8,-0.0485,2.19,50.0,0.5485
negative,odds:3.50+,11,-0.0475,21.11,27.27,0.3203
negative,odds:2.05-2.74,9,-0.0229,-11.31,44.44,0.4673
negative,bookmaker:bet365,23,-0.0155,16.68,43.48,0.4503
