polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,prob:60-65,11,0.1057,43.0,72.73,0.6216
positive,league:other,15,0.0534,49.53,60.0,0.5466
positive,family:dnb,8,0.0156,25.88,50.0,0.4844
positive,context:ensemble,51,0.0022,15.47,50.98,0.5076
negative,prob:50-55,17,-0.1706,-25.76,35.29,0.5236
negative,prob:55-60,9,-0.128,2.11,44.44,0.5725
negative,league:secondary,24,-0.1216,-18.0,37.5,0.4966
negative,family:btts,13,-0.1136,-20.15,38.46,0.4982
negative,context:clubelo,25,-0.1055,-10.08,40.0,0.5055
negative,bookmaker:betfair exchange,26,-0.0871,0.0,42.31,0.5101
negative,market:btts:yes,12,-0.0866,-13.5,41.67,0.5032
negative,prob:45-50,18,-0.0822,-12.5,38.89,0.4711
negative,bookmaker:bet365,40,-0.0754,-2.98,42.5,0.5004
negative,family:totals,54,-0.0724,1.67,44.44,0.5169
negative,odds:2.05-2.74,46,-0.0702,-5.85,41.3,0.4833
negative,league:preferred,41,-0.0581,-4.59,43.9,0.4971
negative,odds:1.70-2.04,24,-0.0555,4.29,54.17,0.5971
negative,market:totals:under,51,-0.0466,7.65,47.06,0.5172
negative,bookmaker:unibet,9,-0.0311,12.89,44.44,0.4755
