polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,league:preferred,10,0.3086,80.4,80.0,0.4914
positive,context:clubelo,9,0.0611,33.89,55.56,0.4945
positive,family:btts,9,0.0559,15.33,55.56,0.4996
positive,market:btts:yes,9,0.0559,15.33,55.56,0.4996
positive,odds:2.05-2.74,16,0.0256,18.62,50.0,0.4744
positive,bookmaker:bet365,18,0.0164,15.06,50.0,0.4836
negative,league:secondary,13,-0.2491,-43.62,23.08,0.4799
negative,context:ensemble,14,-0.0502,-4.86,42.86,0.4787
negative,prob:45-50,9,-0.0291,5.56,44.44,0.4735
