segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,3,1,2,150.0,-36.6,-24.4,33.33,2.492,0.5109,0.3333,-0.1776,0.21989
bookmaker:unibet,2,0,2,72.0,-72.0,-100.0,0.0,2.105,0.5613,0.0,-0.5613,0.31519
context:bzzoiro_predictions,1,1,0,56.0,57.4,102.5,100.0,2.025,0.5749,1.0,0.4251,0.18071
context:ensemble,2,0,2,120.0,-120.0,-100.0,0.0,2.285,0.5773,0.0,-0.5773,0.33322
context:sstats_form,2,0,2,46.0,-46.0,-100.0,0.0,2.545,0.4629,0.0,-0.4629,0.22145
family:h2h,1,0,1,34.0,-34.0,-100.0,0.0,3.2,0.3785,0.0,-0.3785,0.14326
family:totals,4,1,3,188.0,-74.6,-39.68,25.0,2.121,0.5692,0.25,-0.3192,0.2867
league:other,1,1,0,56.0,57.4,102.5,100.0,2.025,0.5749,1.0,0.4251,0.18071
league:preferred,2,0,2,46.0,-46.0,-100.0,0.0,2.545,0.4629,0.0,-0.4629,0.22145
league:secondary,2,0,2,120.0,-120.0,-100.0,0.0,2.285,0.5773,0.0,-0.5773,0.33322
market:h2h:away,1,0,1,34.0,-34.0,-100.0,0.0,3.2,0.3785,0.0,-0.3785,0.14326
market:totals:over,2,0,2,120.0,-120.0,-100.0,0.0,2.285,0.5773,0.0,-0.5773,0.33322
market:totals:under,2,1,1,68.0,45.4,66.76,50.0,1.958,0.5612,0.5,-0.0612,0.24018
odds:1.70-2.04,2,1,1,68.0,45.4,66.76,50.0,1.958,0.5612,0.5,-0.0612,0.24018
odds:2.05-2.74,2,0,2,120.0,-120.0,-100.0,0.0,2.285,0.5773,0.0,-0.5773,0.33322
odds:2.75-3.49,1,0,1,34.0,-34.0,-100.0,0.0,3.2,0.3785,0.0,-0.3785,0.14326
prob:35-40,1,0,1,34.0,-34.0,-100.0,0.0,3.2,0.3785,0.0,-0.3785,0.14326
prob:50-55,1,0,1,12.0,-12.0,-100.0,0.0,1.89,0.5474,0.0,-0.5474,0.29965
prob:55-60,3,1,2,176.0,-62.6,-35.57,33.33,2.198,0.5765,0.3333,-0.2431,0.28238
