match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|ad ceuta b|san roque lepe|2026-05-10,odds_api_io,63144109,soccer,"Spain Amateur - Tercera Federacion, Group 10",CD San Roque de Lepe,AD Ceuta FC B,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 10"", ""odds_api_io_id"": 63144109, ""raw_event"": {""away"": ""AD Ceuta FC B"", ""awayId"": 828282, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""CD San Roque de Lepe"", ""homeId"": 37061, ""id"": 63144109, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 10"", ""slug"": ""spain-amateur-tercera-federacion-group-10""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|akron 2 tolyatti|khimik dzerzhinsk|2026-05-10,odds_api_io,70252078,soccer,"Russia - 2. Liga, Division B, Group 4",FK Akron-2 Tolyatti,Khimik Dzerzhinsk,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Russia - 2. Liga, Division B, Group 4"", ""odds_api_io_id"": 70252078, ""raw_event"": {""away"": ""Khimik Dzerzhinsk"", ""awayId"": 75213, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""FK Akron-2 Tolyatti"", ""homeId"": 792490, ""id"": 70252078, ""league"": {""name"": ""Russia - 2. Liga, Division B, Group 4"", ""slug"": ""russia-2-liga-division-b-group-4""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|alcudia|ce mercadal|2026-05-10,odds_api_io,63145325,soccer,"Spain Amateur - Tercera Federacion, Group 11",CE Mercadal,UD Alcudia,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 11"", ""odds_api_io_id"": 63145325, ""raw_event"": {""away"": ""UD Alcudia"", ""awayId"": 336777, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""CE Mercadal"", ""homeId"": 369318, ""id"": 63145325, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 11"", ""slug"": ""spain-amateur-tercera-federacion-group-11""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|alhaurino|atletico mancha real|2026-05-10,odds_api_io,63143411,soccer,"Spain Amateur - Tercera Federacion, Group 9",CD Alhaurino,Atletico Mancha Real,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 9"", ""odds_api_io_id"": 63143411, ""raw_event"": {""away"": ""Atletico Mancha Real"", ""awayId"": 44225, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""CD Alhaurino"", ""homeId"": 275119, ""id"": 63143411, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 9"", ""slug"": ""spain-amateur-tercera-federacion-group-9""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|aps bomet|mathare united|2026-05-10,odds_api_io,63097511,soccer,Kenya - Premier League,Mathare United FC,Aps Bomet FC,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Kenya - Premier League"", ""odds_api_io_id"": 63097511, ""raw_event"": {""away"": ""Aps Bomet FC"", ""awayId"": 633002, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""Mathare United FC"", ""homeId"": 138482, ""id"": 63097511, ""league"": {""name"": ""Kenya - Premier League"", ""slug"": ""kenya-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|arenas armilla|san pedro|2026-05-10,odds_api_io,63143427,soccer,"Spain Amateur - Tercera Federacion, Group 9",UD San Pedro,Arenas Armilla CD,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 9"", ""odds_api_io_id"": 63143427, ""raw_event"": {""away"": ""Arenas Armilla CD"", ""awayId"": 934321, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""UD San Pedro"", ""homeId"": 266579, ""id"": 63143427, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 9"", ""slug"": ""spain-amateur-tercera-federacion-group-9""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|asa aarhus|esbjerg fb 2|2026-05-10,odds_api_io,70663756,soccer,Denmark Amateur - Danmarksserien,Esbjerg FB 2,ASA Aarhus,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Denmark Amateur - Danmarksserien"", ""odds_api_io_id"": 70663756, ""raw_event"": {""away"": ""ASA Aarhus"", ""awayId"": 740743, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""Esbjerg FB 2"", ""homeId"": 5111, ""id"": 70663756, ""league"": {""name"": ""Denmark Amateur - Danmarksserien"", ""slug"": ""denmark-amateur-danmarksserien""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|atletico central|sevilla c|2026-05-10,odds_api_io,63144111,soccer,"Spain Amateur - Tercera Federacion, Group 10",Sevilla FC C,Club Atletico Central,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 10"", ""odds_api_io_id"": 63144111, ""raw_event"": {""away"": ""Club Atletico Central"", ""awayId"": 750157, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""Sevilla FC C"", ""homeId"": 369292, ""id"": 63144111, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 10"", ""slug"": ""spain-amateur-tercera-federacion-group-10""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|atletico onubense|chiclana|2026-05-10,odds_api_io,63144035,soccer,"Spain Amateur - Tercera Federacion, Group 10",Atletico Onubense,Chiclana CF,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 10"", ""odds_api_io_id"": 63144035, ""raw_event"": {""away"": ""Chiclana CF"", ""awayId"": 276739, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""Atletico Onubense"", ""homeId"": 369300, ""id"": 63144035, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 10"", ""slug"": ""spain-amateur-tercera-federacion-group-10""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|atletico porcuna|motril|2026-05-10,odds_api_io,63143421,soccer,"Spain Amateur - Tercera Federacion, Group 9",CF Motril,Atletico Porcuna CF,2026-05-10T10:00:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 9"", ""odds_api_io_id"": 63143421, ""raw_event"": {""away"": ""Atletico Porcuna CF"", ""awayId"": 612802, ""date"": ""2026-05-10T10:00:00Z"", ""home"": ""CF Motril"", ""homeId"": 2872, ""id"": 63143421, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 9"", ""slug"": ""spain-amateur-tercera-federacion-group-9""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
