match_key,sport_key,league_name,home_team,away_team,commence_time,family,selection,odds,fair_odds,implied_probability,market_probability,consensus_probability,model_probability,final_probability,adjusted_probability,edge_pct,ev_pct,confidence,books_count,sources_count,model_mode,point,expected_home,expected_away,reasons,source_summary,diagnostics,publication_score
soccer|albasete|burgos|2026-04-04,soccer,Испания - Сегунда,Альбасете,Бургос,2026-04-04T14:15:00+00:00,totals,Under,2.0,1.7602611397122427,0.5,0.4852934786489644,0.4852934786489644,0.685004079184206,0.5680975268041617,0.5680975268041617,6.80975268041617,13.61950536083234,73.3188109652093,7,1,xg_total,2.0,1.2307692307692308,0.7384615384615385,"['mode=xg_total', 'model=xg_total', 'consensus_fair_odds=2.06', 'market_prob=48.53%', 'model_prob=68.5%', 'final_prob=56.81%', 'xg=1.23:0.74']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['YSB88', 'PinnacleSports', 'CloudBet', 'SBOBET', 'DafaBet', 'Mansion', 'VBet'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_total'}","{'offer_point': 2.0, 'offer_team_side': None, 'group_key': 'totals|2.00', 'selection_tag': 'under', 'market_probability': 0.4852934786489644, 'consensus_probability': 0.4852934786489644, 'model_probability': 0.685004079184206, 'final_probability': 0.5680975268041617, 'reference_price': 1.9582857142857144, 'consensus_fair_odds': 2.0606087738577403, 'outlier_distance_pct': 2.130142982200169, 'outlier_penalty': 0.0, 'match_mode': None}",126.802
soccer|numansiya|real oviedo b|2026-04-04,soccer,Spain Segunda Division RFEF Group 1,Real Oviedo B,Нумансия,2026-04-04T14:30:00+00:00,h2h,Real Oviedo B,2.2,1.9400355386028523,0.45454545454545453,0.3971744286057395,0.3971744286057395,0.6749836318606959,0.5154544749835697,0.5154544749835697,6.090902043811513,13.399984496385331,76.8,17,1,soccer_context,,2.0,0.24,"['mode=soccer_context', 'model=soccer_context', 'consensus_fair_odds=2.52', 'market_prob=39.72%', 'model_prob=67.5%', 'final_prob=51.55%', 'xg=2.0:0.24']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['Ladbrokes', 'WilliamHill', 'PinnacleSports', 'Unibet', 'BWin', 'Betfair', 'CloudBet', 'SBOBET', 'DafaBet', 'Interwetten', '1XBet', 'CashPoint', 'Coral', 'Spreadex', 'Duelbits', 'FonBet', 'VBet'], 'consensus_sources': ['bookies_api'], 'mode': 'soccer_context'}","{'offer_point': None, 'offer_team_side': None, 'group_key': 'h2h', 'selection_tag': 'home', 'market_probability': 0.3971744286057395, 'consensus_probability': 0.3971744286057395, 'model_probability': 0.6749836318606959, 'final_probability': 0.5154544749835697, 'reference_price': 2.2596470588235293, 'consensus_fair_odds': 2.517785456406267, 'outlier_distance_pct': 2.6396626230020197, 'outlier_penalty': 0.0, 'match_mode': None}",114.718
soccer|nk rudes|nk yarun|2026-04-04,soccer,Хорватия - Первая лига,НК Рудес,НК Ярун,2026-04-04T14:30:00+00:00,spreads,НК Ярун,1.95,1.7342841272552512,0.5128205128205129,0.48652998794462643,0.48652998794462643,0.7065299879446264,0.5766067879446264,0.5766067879446264,6.3786275124113505,12.438323649202143,71.7,5,1,xg_spread,0.75,0.192,2.142857142857143,"['mode=xg_spread', 'model=xg_spread', 'consensus_fair_odds=2.06', 'market_prob=48.65%', 'model_prob=70.65%', 'final_prob=57.66%', 'xg=0.19:2.14']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['PinnacleSports', 'CloudBet', 'SBOBET', '1XBet', 'Mansion'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_spread'}","{'offer_point': 0.75, 'offer_team_side': None, 'group_key': 'spreads|0.75', 'selection_tag': 'away', 'market_probability': 0.48652998794462643, 'consensus_probability': 0.48652998794462643, 'model_probability': 0.7065299879446264, 'final_probability': 0.5766067879446264, 'reference_price': 1.9174, 'consensus_fair_odds': 2.0553717649030365, 'outlier_distance_pct': 1.7002190466256368, 'outlier_penalty': 0.0, 'match_mode': None}",111.746
