match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|updf|ura|2026-04-24,odds_api_io,70100776,soccer,Uganda - Premier League,Updf FC,URA FC,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Uganda - Premier League"", ""odds_api_io_id"": 70100776, ""raw_event"": {""away"": ""URA FC"", ""awayId"": 366558, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Updf FC"", ""homeId"": 218708, ""id"": 70100776, ""league"": {""name"": ""Uganda - Premier League"", ""slug"": ""uganda-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Меньше,under,,2.0,,Bet365,odds_api_io,49.58,48.84,48.68,,,53.09,,,market_simple_totals,10.943,,,,market_signal,,low_sample,,,,,,
soccer|hapoel kfar shalem|maccabi petah tikva|2026-04-24,odds_api_io,70929682,soccer,Israel - National League,Maccabi Petah Tikva FC,Hapoel Kfar Shalem FC,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Israel - National League"", ""odds_api_io_id"": 70929682, ""raw_event"": {""away"": ""Hapoel Kfar Shalem FC"", ""awayId"": 65204, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Maccabi Petah Tikva FC"", ""homeId"": 5333, ""id"": 70929682, ""league"": {""name"": ""Israel - National League"", ""slug"": ""israel-national-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,btts,Обе забьют: Да,yes,,,,Bet365,odds_api_io,82.21,63.64,58.89,,,57.8,,,btts_poisson,21.101,2.469,1.833,,sstats_form,,low_sample,,,,,,
soccer|hapoel nof hagalil|hapoel ra anana|2026-04-24,odds_api_io,70929738,soccer,Israel - National League,Hapoel Ra`anana FC,Hapoel Nof Hagalil FC,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Israel - National League"", ""odds_api_io_id"": 70929738, ""raw_event"": {""away"": ""Hapoel Nof Hagalil FC"", ""awayId"": 5393, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Hapoel Ra`anana FC"", ""homeId"": 5398, ""id"": 70929738, ""league"": {""name"": ""Israel - National League"", ""slug"": ""israel-national-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,over,,2.5,,Bet365,odds_api_io,46.29,43.93,42.24,,,64.3,,,market_derived_totals,19.124,,,,market_signal,,flat,,,,,,
soccer|hapoel acre|maccabi kabilio jaffa|2026-04-24,odds_api_io,70929740,soccer,Israel - National League,Maccabi Kabilio Jaffa,Hapoel Acre FC,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Israel - National League"", ""odds_api_io_id"": 70929740, ""raw_event"": {""away"": ""Hapoel Acre FC"", ""awayId"": 7380, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Maccabi Kabilio Jaffa"", ""homeId"": 39526, ""id"": 70929740, ""league"": {""name"": ""Israel - National League"", ""slug"": ""israel-national-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Maccabi Kabilio Jaffa,home,home,-0.25,,Bet365,odds_api_io,59.44,56.34,55.56,,,56.91,,,xg_spread,18.734,2.215,1.271,,sstats_form,,low_sample,,,,,,
soccer|hapoel hadera|kafr qasim|2026-04-24,odds_api_io,70929742,soccer,Israel - National League,FC Kafr Qasim,Hapoel Hadera FC,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Israel - National League"", ""odds_api_io_id"": 70929742, ""raw_event"": {""away"": ""Hapoel Hadera FC"", ""awayId"": 39525, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""FC Kafr Qasim"", ""homeId"": 238982, ""id"": 70929742, ""league"": {""name"": ""Israel - National League"", ""slug"": ""israel-national-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,dnb,Hapoel Hadera FC (0),away,,,,Bet365,odds_api_io,49.27,38.3,35.49,,,57.9,,,h2h_ensemble,19.875,1.293,1.256,,sstats_form,,low_sample,,,,,,
soccer|hapoel afula|ironi modiin|2026-04-24,odds_api_io,70929744,soccer,Israel - National League,Hapoel Afula FC,Ironi Modiin,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Israel - National League"", ""odds_api_io_id"": 70929744, ""raw_event"": {""away"": ""Ironi Modiin"", ""awayId"": 388096, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Hapoel Afula FC"", ""homeId"": 39521, ""id"": 70929744, ""league"": {""name"": ""Israel - National League"", ""slug"": ""israel-national-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,btts,Обе забьют: Нет,no,,,,Unibet,odds_api_io,77.83,54.68,48.07,,,67.88,,,btts_poisson,35.382,0.723,0.615,,sstats_form,,flat,,,,,,
soccer|kelantan real warriors|selangor|2026-04-24,odds_api_io,61974226,soccer,Malaysia - Super League,Kelantan The Real Warriors FC,Selangor FC,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Malaysia - Super League"", ""odds_api_io_id"": 61974226, ""raw_event"": {""away"": ""Selangor FC"", ""awayId"": 3323, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Kelantan The Real Warriors FC"", ""homeId"": 532665, ""id"": 61974226, ""league"": {""name"": ""Malaysia - Super League"", ""slug"": ""malaysia-super-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Меньше,under,,3.5,,Bet365,odds_api_io,71.89,55.02,50.66,,,58.64,,,xg_total,24.622,1.893,0.785,,sstats_form,,low_sample,,,,,,
soccer|kagera sugar|songea united|2026-04-24,odds_api_io,64067897,soccer,Tanzania - Championship League,Songea United,Kagera Sugar,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Tanzania - Championship League"", ""odds_api_io_id"": 64067897, ""raw_event"": {""away"": ""Kagera Sugar"", ""awayId"": 238656, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Songea United"", ""homeId"": 1184919, ""id"": 64067897, ""league"": {""name"": ""Tanzania - Championship League"", ""slug"": ""tanzania-championship-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|as kigali|gasogi united|2026-04-24,odds_api_io,67782846,soccer,Rwanda - Premier League,AS Kigali,Gasogi United,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Rwanda - Premier League"", ""odds_api_io_id"": 67782846, ""raw_event"": {""away"": ""Gasogi United"", ""awayId"": 528591, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""AS Kigali"", ""homeId"": 380048, ""id"": 67782846, ""league"": {""name"": ""Rwanda - Premier League"", ""slug"": ""rwanda-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,over,,2.5,,Bet365,odds_api_io,38.22,35.43,33.42,,,64.4,,,market_derived_totals,31.185,,,,market_signal,,flat,,,,,,
soccer|ascoli 1898|pescara|2026-04-24,odds_api_io,62901817,soccer,Italy - Primavera 2,Ascoli Calcio 1898 FC,Pescara Calcio,2026-04-24T13:00:00+00:00,mid,"{""competition"": ""Italy - Primavera 2"", ""odds_api_io_id"": 62901817, ""raw_event"": {""away"": ""Pescara Calcio"", ""awayId"": 79063, ""date"": ""2026-04-24T13:00:00Z"", ""home"": ""Ascoli Calcio 1898 FC"", ""homeId"": 79069, ""id"": 62901817, ""league"": {""name"": ""Italy - Primavera 2"", ""slug"": ""italy-primavera-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,over,,3.0,,Bet365,odds_api_io,51.46,48.2,47.37,,,56.93,,,xg_total,13.602,1.921,1.821,,sstats_form,,insufficient_history,,,,,,
