polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,league:other,9,0.1427,66.22,66.67,0.524
positive,context:ensemble,32,0.0561,24.66,53.12,0.4751
positive,prob:40-45,15,0.0357,14.73,46.67,0.431
positive,odds:2.75-3.49,9,0.0169,31.0,44.44,0.4276
positive,family:dnb,8,0.0156,25.88,50.0,0.4844
negative,prob:50-55,12,-0.2681,-43.75,25.0,0.5181
negative,league:secondary,19,-0.1685,-27.05,31.58,0.4842
negative,odds:1.70-2.04,9,-0.134,-16.89,44.44,0.5785
negative,context:clubelo,22,-0.1338,-15.09,36.36,0.4974
negative,family:btts,13,-0.1136,-20.15,38.46,0.4982
negative,bookmaker:unibet,8,-0.113,-12.38,37.5,0.488
negative,market:btts:yes,12,-0.0866,-13.5,41.67,0.5032
negative,family:totals,29,-0.0792,-1.72,41.38,0.493
negative,market:totals:under,28,-0.0656,1.79,42.86,0.4941
negative,prob:45-50,17,-0.0595,-7.35,41.18,0.4713
negative,bookmaker:bet365,32,-0.055,2.16,43.75,0.4925
negative,league:preferred,29,-0.0347,0.55,44.83,0.483
negative,odds:2.05-2.74,40,-0.032,3.02,45.0,0.482
negative,bookmaker:betfair exchange,15,-0.021,11.0,46.67,0.4877
