match_key,sport_key,league_name,home_team,away_team,commence_time,family,selection,odds,fair_odds,implied_probability,market_probability,consensus_probability,model_probability,final_probability,adjusted_probability,edge_pct,ev_pct,confidence,books_count,sources_count,model_mode,point,expected_home,expected_away,reasons,source_summary,diagnostics,publication_score
soccer|esberg|kolding if|2026-04-03,soccer,Дания - Дивизион 1,Колдинг ИФ,Эсбьерг,2026-04-03T11:00:00+00:00,totals,Under,2.02,1.7529422287313867,0.49504950495049505,0.4801814562145982,0.4801814562145982,0.7001814562145982,0.5704694562145982,0.5704694562145982,7.541995126410317,15.234830155348833,72.0,17,1,xg_total,2.5,1.0212765957446808,0.8571428571428571,"['mode=xg_total', 'model=xg_total', 'consensus_fair_odds=2.08', 'market_prob=48.02%', 'model_prob=70.02%', 'final_prob=57.05%', 'xg=1.02:0.86']","{'target_source': 'bookies_api', 'target_bookmaker': 'Unibet', 'consensus_books': ['Bet365', 'Ladbrokes', 'YSB88', 'PinnacleSports', 'BWin', 'CloudBet', 'Betsson', 'SBOBET', 'DafaBet', 'Marathonbet', 'Everygame', 'Mansion', 'CashPoint', 'MelBet', 'Coral', 'FonBet', 'VBet'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_total'}","{'offer_point': 2.5, 'offer_team_side': None, 'group_key': 'totals|2.50', 'selection_tag': 'under', 'market_probability': 0.4801814562145982, 'consensus_probability': 0.4801814562145982, 'model_probability': 0.7001814562145982, 'final_probability': 0.5704694562145982, 'reference_price': 1.9502352941176468, 'consensus_fair_odds': 2.0825460605731707, 'outlier_distance_pct': 3.5772455812270136, 'outlier_penalty': 0.0, 'match_mode': None}",154.403
soccer|onsala|vestra frelunda|2026-04-03,soccer,Швеция - 2-й дивизион - Вэстра Свеаланд,Онсала БК,ФК Вестра Фрёлунда,2026-04-03T11:00:00+00:00,totals,Under,1.925,1.668836670247057,0.5194805194805194,0.508931814514238,0.508931814514238,0.7289318145142379,0.599219814514238,0.599219814514238,7.973929503371857,15.349814293990827,72.0,9,1,xg_total,3.5,1.1428571428571428,0.8888888888888888,"['mode=xg_total', 'model=xg_total', 'consensus_fair_odds=1.96', 'market_prob=50.89%', 'model_prob=72.89%', 'final_prob=59.92%', 'xg=1.14:0.89']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['Ladbrokes', 'PinnacleSports', 'Unibet', 'BWin', 'CloudBet', 'DafaBet', 'MelBet', 'Coral', 'FonBet'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_total'}","{'offer_point': 3.5, 'offer_team_side': None, 'group_key': 'totals|3.50', 'selection_tag': 'under', 'market_probability': 0.508931814514238, 'consensus_probability': 0.508931814514238, 'model_probability': 0.7289318145142379, 'final_probability': 0.599219814514238, 'reference_price': 1.8146666666666667, 'consensus_fair_odds': 1.9648997596160769, 'outlier_distance_pct': 6.080088170462898, 'outlier_penalty': 0.580088170462898, 'match_mode': None}",136.416
soccer|odishi 1919 zugdidi|samtredia|2026-04-03,soccer,Грузия - Первая лига,ФК Самтредиа,Одиши 1919 Зугдиди,2026-04-03T11:00:00+00:00,totals,Under,1.925,1.6555168754092673,0.5194805194805194,0.5157945583579665,0.5157945583579665,0.7357945583579665,0.6040409583579665,0.6040409583579665,8.456043887744702,16.277884483908544,69.1,3,1,xg_total,3.0,1.188118811881188,0.75,"['mode=xg_total', 'model=xg_total', 'consensus_fair_odds=1.94', 'market_prob=51.58%', 'model_prob=73.58%', 'final_prob=60.4%', 'xg=1.19:0.75']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['PinnacleSports', 'CloudBet', 'DafaBet'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_total'}","{'offer_point': 3.0, 'offer_team_side': None, 'group_key': 'totals|3.00', 'selection_tag': 'under', 'market_probability': 0.5157945583579665, 'consensus_probability': 0.5157945583579665, 'model_probability': 0.7357945583579665, 'final_probability': 0.6040409583579665, 'reference_price': 1.7910000000000001, 'consensus_fair_odds': 1.938756397864109, 'outlier_distance_pct': 7.481853713009485, 'outlier_penalty': 1.9818537130094853, 'match_mode': None}",118.419
soccer|aragvi dusheti|kolheti poti|2026-04-03,soccer,Грузия - Первая лига,Колхети Поти,Aragvi Dusheti,2026-04-03T11:00:00+00:00,totals,Under,1.95,1.7592322785513514,0.5128205128205129,0.4893996012152523,0.4893996012152523,0.6810035022109722,0.5684297702992666,0.5684297702992666,5.560925747875367,10.843805208356972,72.6457464352782,4,1,xg_total,2.5,1.0084033613445378,0.975609756097561,"['mode=xg_total', 'model=xg_total', 'consensus_fair_odds=2.04', 'market_prob=48.94%', 'model_prob=68.1%', 'final_prob=56.84%', 'xg=1.01:0.98']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['PinnacleSports', 'DafaBet', 'CashPoint', 'FonBet'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_total'}","{'offer_point': 2.5, 'offer_team_side': None, 'group_key': 'totals|2.50', 'selection_tag': 'under', 'market_probability': 0.4893996012152523, 'consensus_probability': 0.4893996012152523, 'model_probability': 0.6810035022109722, 'final_probability': 0.5684297702992666, 'reference_price': 1.88675, 'consensus_fair_odds': 2.0433200139862207, 'outlier_distance_pct': 3.3523254273221164, 'outlier_penalty': 0.0, 'match_mode': None}",107.332
soccer|lilla torg ff|selvesborg goif|2026-04-03,soccer,Швеция - 2-й дивизион - Сёдра Гёталанд,Lilla Torg FF,Сёльвесборг ГоИФ,2026-04-03T11:00:00+00:00,totals,Under,1.875,1.642692198956118,0.5333333333333333,0.5217071717406038,0.5217071717406038,0.7417071717406037,0.6087567717406037,0.6087567717406037,7.542343840727039,14.1418947013632,67.4,2,1,xg_total,3.0,0.8571428571428571,1.1428571428571428,"['mode=xg_total', 'model=xg_total', 'consensus_fair_odds=1.92', 'market_prob=52.17%', 'model_prob=74.17%', 'final_prob=60.88%', 'xg=0.86:1.14']","{'target_source': 'bookies_api', 'target_bookmaker': 'Bet365', 'consensus_books': ['CloudBet', 'DafaBet'], 'consensus_sources': ['bookies_api'], 'mode': 'xg_total'}","{'offer_point': 3.0, 'offer_team_side': None, 'group_key': 'totals|3.00', 'selection_tag': 'under', 'market_probability': 0.5217071717406038, 'consensus_probability': 0.5217071717406038, 'model_probability': 0.7417071717406037, 'final_probability': 0.6087567717406037, 'reference_price': 1.76, 'consensus_fair_odds': 1.9167840776726117, 'outlier_distance_pct': 6.534090909090909, 'outlier_penalty': 1.0340909090909092, 'match_mode': None}",106.032
