polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,league:other,8,0.0957,57.75,62.5,0.5293
positive,context:ensemble,28,0.0906,34.11,57.14,0.4808
positive,prob:40-45,14,0.0688,22.93,50.0,0.4312
positive,family:dnb,8,0.0156,25.88,50.0,0.4844
negative,prob:50-55,12,-0.2681,-43.75,25.0,0.5181
negative,league:secondary,18,-0.154,-23.0,33.33,0.4873
negative,odds:1.70-2.04,9,-0.134,-16.89,44.44,0.5785
negative,context:clubelo,22,-0.1338,-15.09,36.36,0.4974
negative,family:btts,13,-0.1136,-20.15,38.46,0.4982
negative,bookmaker:unibet,8,-0.113,-12.38,37.5,0.488
negative,market:btts:yes,12,-0.0866,-13.5,41.67,0.5032
negative,prob:45-50,15,-0.0713,-10.6,40.0,0.4713
negative,family:totals,25,-0.0622,4.64,44.0,0.5022
negative,market:totals:under,25,-0.0622,4.64,44.0,0.5022
negative,bookmaker:betfair exchange,14,-0.0596,2.21,42.86,0.4882
negative,odds:2.05-2.74,38,-0.036,2.29,44.74,0.4834
negative,bookmaker:bet365,30,-0.032,8.97,46.67,0.4987
negative,league:preferred,27,-0.0065,8.0,48.15,0.488
