segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,47,17,30,669.0,-118.89,-17.77,36.17,3.131,0.4197,0.3617,-0.058,0.2405
bookmaker:unibet,25,7,18,289.0,-111.51,-38.58,28.0,3.351,0.3878,0.28,-0.1078,0.21211
context:api_football,11,5,6,175.0,-70.55,-40.31,45.45,3.084,0.4244,0.4545,0.0302,0.27431
context:ensemble,48,14,34,628.0,-132.15,-21.04,29.17,3.276,0.4013,0.2917,-0.1096,0.22916
context:espn,1,0,1,1.0,-1.0,-100.0,0.0,4.0,0.3175,0.0,-0.3175,0.10081
context:football_data,1,1,0,1.0,1.0,100.0,100.0,2.0,0.5788,1.0,0.4212,0.17741
context:gnews,1,0,1,22.0,-22.0,-100.0,0.0,3.0,0.4025,0.0,-0.4025,0.16201
context:sstats,1,0,1,32.0,-32.0,-100.0,0.0,1.833,0.6213,0.0,-0.6213,0.38601
context:sstats+market_synthetic,1,1,0,1.0,2.4,240.0,100.0,3.4,0.3742,1.0,0.6258,0.39163
context:sstats_form,6,1,5,38.0,-34.5,-90.79,16.67,3.592,0.3377,0.1667,-0.171,0.1712
context:thesportsdb,2,2,0,60.0,58.4,97.33,100.0,1.975,0.5857,1.0,0.4143,0.17205
family:btts,4,2,2,57.0,-35.91,-63.0,50.0,2.018,0.55,0.5,-0.05,0.24915
family:dnb,23,5,18,353.0,-67.43,-19.1,21.74,3.483,0.3717,0.2174,-0.1543,0.18021
family:h2h,19,10,9,228.0,-35.85,-15.72,52.63,3.474,0.351,0.5263,0.1753,0.27222
family:spreads,13,2,11,56.0,7.93,14.16,15.38,3.625,0.3681,0.1538,-0.2142,0.15897
family:totals,13,5,8,264.0,-99.14,-37.55,38.46,2.277,0.5551,0.3846,-0.1705,0.32507
league:other,22,5,17,440.0,-88.22,-20.05,22.73,3.171,0.422,0.2273,-0.1947,0.21838
league:preferred,35,12,23,383.0,-183.33,-47.87,34.29,3.134,0.411,0.3429,-0.0681,0.22122
league:secondary,15,7,8,135.0,41.15,30.48,46.67,3.432,0.3835,0.4667,0.0831,0.27062
market:btts:no,1,0,1,32.0,-32.0,-100.0,0.0,1.833,0.6213,0.0,-0.6213,0.38601
market:btts:yes,3,2,1,25.0,-3.91,-15.64,66.67,2.08,0.5262,0.6667,0.1405,0.20353
market:dnb:away,15,4,11,214.0,48.07,22.46,26.67,3.596,0.3652,0.2667,-0.0985,0.18751
market:dnb:home,8,1,7,139.0,-115.5,-83.09,12.5,3.273,0.384,0.125,-0.259,0.16652
market:h2h:away,11,5,6,172.0,-35.9,-20.87,45.45,3.494,0.3512,0.4545,0.1033,0.24943
market:h2h:draw,4,3,1,4.0,7.65,191.25,75.0,3.975,0.2848,0.75,0.4652,0.39947
market:h2h:home,4,2,2,52.0,-7.6,-14.62,50.0,2.921,0.4168,0.5,0.0832,0.20765
market:spreads:away,8,0,8,21.0,-21.0,-100.0,0.0,3.65,0.3649,0.0,-0.3649,0.14317
market:spreads:home,5,2,3,35.0,28.93,82.66,40.0,3.585,0.373,0.4,0.027,0.18426
market:totals:over,3,1,2,77.0,-18.28,-23.74,33.33,2.024,0.6388,0.3333,-0.3055,0.36734
market:totals:under,10,4,6,187.0,-80.86,-43.24,40.0,2.353,0.5299,0.4,-0.1299,0.3124
odds:1.00-1.69,2,0,2,2.0,-2.0,-100.0,0.0,1.633,0.6961,0.0,-0.6961,0.48463
odds:1.70-2.04,12,8,4,199.0,77.83,39.11,66.67,1.953,0.5739,0.6667,0.0927,0.24131
odds:2.05-2.74,12,4,8,225.0,-96.4,-42.84,33.33,2.342,0.4882,0.3333,-0.1549,0.28665
odds:2.75-3.49,9,3,6,178.0,-167.95,-94.35,33.33,3.175,0.394,0.3333,-0.0607,0.2439
odds:3.50+,37,9,28,354.0,-41.88,-11.83,24.32,3.988,0.3172,0.2432,-0.0739,0.19206
prob:25-30,15,4,11,45.0,-29.5,-65.56,26.67,4.12,0.2869,0.2667,-0.0202,0.19606
prob:30-35,15,4,11,141.0,54.37,38.56,26.67,3.957,0.3243,0.2667,-0.0576,0.19693
prob:35-40,13,4,9,237.0,-125.7,-53.04,30.77,3.565,0.3662,0.3077,-0.0585,0.21461
prob:40-45,6,4,2,85.0,43.6,51.29,66.67,2.622,0.4248,0.6667,0.2419,0.2682
prob:45-50,4,0,4,124.0,-124.0,-100.0,0.0,2.551,0.475,0.0,-0.475,0.22585
prob:50-55,7,2,5,75.0,-53.91,-71.88,28.57,2.023,0.5274,0.2857,-0.2417,0.26429
prob:55-60,6,5,1,138.0,58.06,42.07,83.33,1.997,0.5721,0.8333,0.2613,0.20035
prob:60-65,3,1,2,64.0,-4.32,-6.75,33.33,1.903,0.6234,0.3333,-0.29,0.31822
prob:65-70,3,0,3,49.0,-49.0,-100.0,0.0,1.882,0.6834,0.0,-0.6834,0.46732
