match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|ge juventus jaragua sul|metropolitano|2026-05-30,day_inventory,69796230,soccer,"Brazil - Catarinense, Serie B",Metropolitano SC,GE Juventus Jaragua do Sul SC,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""69796230""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|metropolitano|ge juventus jaragua do sul"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,totals,Меньше,under,,2.0,,Bet365,odds_api_io,66.35,53.04,50.0,,,61.47,,,xg_total,20.267,1.017,1.032,,ensemble,,insufficient_history,,,,,,
soccer|aa sao mateus es|capixaba es|2026-05-30,day_inventory,69232930,soccer,Brazil - Copa Espirito Santo,AA Sao Mateus ES,Capixaba SC ES,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""69232930""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|aa sao mateus es|capixaba es"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|ce gramadense rs|serc brasil farroupilha rs|2026-05-30,day_inventory,71687214,soccer,Brazil - Copa FGF,CE Gramadense RS,SERC Brasil de Farroupilha RS,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71687214""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ce gramadense rs|serc brasil farroupilha rs"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,CE Gramadense RS,home,home,-1.5,,Bet365,odds_api_io,53.02,28.41,22.72,,,65.14,,,xg_spread,44.479,1.133,0.831,,ensemble,,insufficient_history,,,,,,
soccer|monsoon rs|santa cruz rs|2026-05-30,day_inventory,71410426,soccer,Brazil - Copa FGF,FC Santa Cruz RS,Monsoon FC RS,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71410426""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|santa cruz rs|monsoon rs"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Monsoon FC RS,away,away,-0.5,,Bet365,odds_api_io,37.51,36.77,36.61,,,55.09,,,market_simple_spreads,50.638,,,,market_signal,,insufficient_history,,,,,,
soccer|parana pr|paranavai pr|2026-05-30,day_inventory,71764830,soccer,"Brazil - Paranaense, 2. Divisao",Paranavai PR,Parana Clube PR,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71764830""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|paranavai pr|parana clube pr"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Parana Clube PR,home,away,1.5,,Bet365,odds_api_io,58.88,29.81,22.16,,,62.59,,,xg_spread,56.318,0.794,1.682,,sstats_form,,insufficient_history,,,,,,
soccer|cerrado go|goias go|2026-05-30,day_inventory,71576542,soccer,"Brazil - U20 Goiano, 1. Divisao",Cerrado EC GO,Goias EC GO,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71576542""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|cerrado ec go|goias ec go"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|goianiense go|royal go|2026-05-30,day_inventory,71576544,soccer,"Brazil - U20 Goiano, 1. Divisao",Royal GO,AC Goianiense GO,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71576544""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|royal go|goianiense go"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Royal GO,home,home,0.0,,Bet365,odds_api_io,51.34,50.25,50.0,,,63.49,,,xg_spread,19.048,1.286,1.152,,ensemble,,insufficient_history,,,,,,
soccer|america mg|betim futebol mg|2026-05-30,day_inventory,68902060,soccer,"Brazil - U20 Mineiro, 1. Divisao",Betim Futebol MG,America FC MG,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""68902060""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|betim futebol mg|america mg"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,totals,Меньше,under,,2.5,,Bet365,odds_api_io,66.05,54.05,51.32,,,60.99,,,xg_total,18.366,1.007,1.053,,ensemble,,insufficient_history,,,,,,
soccer|ab argir|nsi runavik|2026-05-30,day_inventory,67850012,soccer,Faroe Islands - Premier League,AB Argir,NSI Runavik,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""67850012""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ab argir|nsi runavik"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,NSI Runavik,away,away,-2.5,,Betfair Exchange,odds_api_io,46.83,70.89,92.2,,,78.33,,,xg_spread,160.392,1.601,1.284,,ensemble,,insufficient_history,,,,,,
soccer|eb streymur|ki klaksvik|2026-05-30,day_inventory,67850014,soccer,Faroe Islands - Premier League,KI Klaksvik,Eb/Streymur,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""67850014""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ki klaksvik|eb streymur"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,KI Klaksvik,home,home,-3.75,,Betfair Exchange,odds_api_io,55.84,78.18,96.93,,,74.7,,,xg_spread,209.806,1.735,1.151,,ensemble,,insufficient_history,,,,,,
