match_key,market_key,family,selection,point,team_side,best_price,consensus_fair_odds,books,sources,snapshots_count,dispersion_pct,steam_score
soccer|ca boston river|liverpool montevideo|2026-06-01,h2h|ca boston river||home,h2h,CA Boston River,,home,3.25,3.0638,"[""Bet365"", ""Unibet"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",4,3.477,
soccer|ca boston river|liverpool montevideo|2026-06-01,h2h|draw||,h2h,Draw,,,3.25,3.1194,"[""Bet365"", ""Unibet"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",4,2.234,
soccer|ca boston river|liverpool montevideo|2026-06-01,h2h|liverpool montevideo||away,h2h,Liverpool Montevideo,,away,2.5,2.3098,"[""Bet365"", ""Unibet"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",4,5.045,
soccer|ca boston river|liverpool montevideo|2026-06-01,dnb|ca boston river|0.00|home,dnb,CA Boston River,0.0,home,2.26,2.1528,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,3.371,
soccer|ca boston river|liverpool montevideo|2026-06-01,dnb|liverpool montevideo|0.00|away,dnb,Liverpool Montevideo,0.0,away,1.76,1.6853,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,4.532,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|0.25|home,spreads,CA Boston River,0.25,home,1.85,1.8417,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,0.74,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|-0.25|away,spreads,Liverpool Montevideo,-0.25,away,2.13,2.0305,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,3.685,
soccer|ca boston river|liverpool montevideo|2026-06-01,totals|over|2.25|,totals,Over,2.25,,1.98,1.9501,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,1.578,
soccer|ca boston river|liverpool montevideo|2026-06-01,totals|under|2.25|,totals,Under,2.25,,1.97,1.9062,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,3.293,
soccer|ca boston river|liverpool montevideo|2026-06-01,totals|over|2.50|,totals,Over,2.5,,2.28,2.1934,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,3.759,
soccer|ca boston river|liverpool montevideo|2026-06-01,totals|under|2.50|,totals,Under,2.5,,1.76,1.6798,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,4.532,
soccer|ca boston river|liverpool montevideo|2026-06-01,btts|yes||,btts,Yes,,,1.96,1.8708,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,3.925,
soccer|ca boston river|liverpool montevideo|2026-06-01,btts|no||,btts,No,,,2.02,1.8893,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,5.44,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|1.00|home,spreads,CA Boston River,1.0,home,1.64,1.441,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",5,18.389,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|1.00|away,spreads,Liverpool Montevideo,1.0,away,5.0,1.822,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",5,66.957,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|-2.00|home,spreads,CA Boston River,-2.0,home,27.0,23.1413,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,1.559,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|2.00|away,spreads,Liverpool Montevideo,2.0,away,11.0,1.5055,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,88.948,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|2.00|home,spreads,CA Boston River,2.0,home,1.49,1.2032,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",4,27.226,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|-2.00|away,spreads,Liverpool Montevideo,-2.0,away,16.0,2.7926,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",4,86.086,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|3.00|home,spreads,CA Boston River,3.0,home,1.05,1.033,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,3.772,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|3.00|away,spreads,Liverpool Montevideo,3.0,away,29.0,1.9378,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,94.591,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|-0.25|home,spreads,CA Boston River,-0.25,home,2.75,2.6743,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,2.098,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|0.25|away,spreads,Liverpool Montevideo,0.25,away,1.55,1.5123,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,3.28,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|0.00|home,spreads,CA Boston River,0.0,home,2.26,2.2201,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,1.207,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|-0.00|away,spreads,Liverpool Montevideo,-0.0,away,1.76,1.6928,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,3.788,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|-1.50|home,spreads,CA Boston River,-1.5,home,8.47,7.0856,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,4.194,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|1.50|away,spreads,Liverpool Montevideo,1.5,away,4.65,1.4715,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,71.087,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|-1.25|home,spreads,CA Boston River,-1.25,home,7.69,6.9086,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,2.996,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|liverpool montevideo|1.25|away,spreads,Liverpool Montevideo,1.25,away,4.25,1.7667,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,64.966,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|-1.00|home,spreads,CA Boston River,-1.0,home,8.4,4.9849,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",4,25.831,
soccer|ca boston river|liverpool montevideo|2026-06-01,spreads|ca boston river|-0.75|home,spreads,CA Boston River,-0.75,home,4.25,4.0165,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,2.786,
