report_date,prediction_id,fingerprint,published_at,published_at_local,published_date_local,telegram_sent,tracking_mode,tracking_reason,shadow_tracked,match_key,sport_key,league_name,home_team,away_team,commence_time_utc,commence_time_local,family,selection,selection_key,team_side,point,odds,stake_amount,status,result,is_hit,pnl,roi_pct,final_score,final_home_goals,final_away_goals,settled_at,settlement_source,settlement_note,settlement_result_orientation,settlement_attempt_at,settlement_attempt_reason,settlement_grade_issue,settlement_match_failure,settlement_match_threshold,settlement_best_score,settlement_best_source,settlement_best_status,settlement_best_event,settlement_best_scoreline,settlement_matched_via,settlement_manual_note,model_probability_pct,adjusted_probability_pct,market_probability_pct,edge_pct,ev_pct,confidence,books_count,sources_count,model_mode,publication_score,expected_home,expected_away,total_xg,selected_bookmaker,selected_source,context_source,context_sources,context_confidence,context_mode,market_movement,best_vs_consensus_edge_pct,consensus_dispersion_pct,match_tier,quality_status,quality_score,quality_reasons
2026-04-24,soccer|dalian kewei|shanghai second|2026-04-24|dnb|home|||2026-04-24T07:30:00+00:00,soccer|dalian kewei|shanghai second|2026-04-24|dnb|home|||2026-04-24T07:30:00+00:00,2026-04-23T20:13:56.189214+00:00,2026-04-23T23:13:56.189214+03:00,2026-04-23,True,,,False,soccer|dalian kewei|shanghai second|2026-04-24,soccer,China - China League 2,Shanghai Second,Dalian Kewei,2026-04-24T07:30:00+00:00,2026-04-24T10:30:00+03:00,dnb,Shanghai Second (0),home,,,3.25,14.0,push,push,,0.0,0.0,1:1,1.0,1.0,2026-04-24T10:55:15.661474+00:00,api_football,Shanghai Second 1:1 Dalian Kewei,direct,2026-04-24T10:55:15.661474+00:00,settled,,,,106.0,api_football,FT,Shanghai Second vs Dalian Kewei,1:1,,,49.8,38.97,30.56,8.409,26.658,69.52,2,1,h2h_ensemble,61.611,1.047,1.164,2.211,Bet365,odds_api_io,ensemble,,64.86,team_form,flat,7.844,4.945,mid,passed_quality,88.0,
2026-04-24,soccer|brisbane strikers|saint george willawong|2026-04-24|totals|under||2.5|2026-04-24T10:30:00+00:00,soccer|brisbane strikers|saint george willawong|2026-04-24|totals|under||2.5|2026-04-24T10:30:00+00:00,2026-04-24T07:12:57.773883+00:00,2026-04-24T10:12:57.773883+03:00,2026-04-24,True,,,False,soccer|brisbane strikers|saint george willawong|2026-04-24,soccer,Australia - Queensland Premier League 1,Brisbane Strikers FC,St George Willawong FC,2026-04-24T10:30:00+00:00,2026-04-24T13:30:00+03:00,totals,Меньше,under,,2.5,2.75,21.0,pending,pending,,,,,,,,,,,2026-04-24T21:40:03.772736+00:00,no_match,,no_positive_candidate,70.0,,,,,,,,59.98,41.17,34.37,6.802,13.217,72.5,2,1,xg_total,57.891,1.759,0.588,2.346,Bet365,odds_api_io,ensemble,,75.17,team_form,insufficient_history,2.815,2.098,mid,passed_quality_last_resort,79.507,"[""quality_last_resort_publish""]"
2026-04-24,f3364b63e7e042ff3be46032,f3364b63e7e042ff3be46032,,,,True,,,False,soccer|kolos kovalivka|poltava|2026-04-24,soccer,Ukraine - Premier League,Kolos Kovalivka,SC Poltava,2026-04-24T12:30:00+00:00,2026-04-24T15:30:00+03:00,teamTotals,Kolos Kovalivka ТМ 1.5,under,home,1.5,2.8,5.0,pending,pending,,,,,,,,,,,2026-04-24T21:40:03.772736+00:00,no_match,,no_positive_candidate,70.0,,,,,,,,72.22,37.75,32.2,5.547,5.701,61.65,1,1,team_total_poisson,36.094,1.037,0.322,1.359,Unibet,odds_api_io,sstats_form,,65.0,team_form,low_sample,0.0,0.0,mid,rejected_by_quality_filters,54.603,"[""bad_historical_segment_guard""]"
