match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|chacarita juniors|maipu|2026-05-31,day_inventory,67118426,soccer,Argentina - Primera Nacional,CD Maipu,Chacarita Juniors,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Argentina - Primera Nacional"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|chacarita juniors|maipu|2026-05-31"", ""odds_api_io_id"": 67118426, ""raw_event"": {""away"": ""Chacarita Juniors"", ""awayId"": 3214, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""CD Maipu"", ""homeId"": 240854, ""id"": 67118426, ""league"": {""name"": ""Argentina - Primera Nacional"", ""slug"": ""argentina-primera-nacional""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CD Maipu,home,home,-1.25,,Betfair Exchange,odds_api_io,57.46,71.51,74.89,,,67.1,,,xg_spread,275.043,1.613,0.867,,ensemble,,insufficient_history,,,,,,
soccer|atletico rafaela|quilmes|2026-05-31,day_inventory,67118434,soccer,Argentina - Primera Nacional,Quilmes AC,Atletico de Rafaela,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Argentina - Primera Nacional"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|atletico rafaela|quilmes|2026-05-31"", ""odds_api_io_id"": 67118434, ""raw_event"": {""away"": ""Atletico de Rafaela"", ""awayId"": 34976, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Quilmes AC"", ""homeId"": 4936, ""id"": 67118434, ""league"": {""name"": ""Argentina - Primera Nacional"", ""slug"": ""argentina-primera-nacional""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Quilmes AC,home,home,-1.25,,Betfair Exchange,odds_api_io,51.73,74.67,80.07,,,64.67,,,xg_spread,256.928,1.099,0.926,,ensemble,,insufficient_history,,,,,,
soccer|brazil juniors|sv river plate aruba|2026-05-31,day_inventory,71804354,soccer,Aruba - Division Honor,Brazil Juniors,SV River Plate Aruba,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Aruba - Division Honor"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|brazil juniors|sv river plate aruba|2026-05-31"", ""odds_api_io_id"": 71804354, ""raw_event"": {""away"": ""SV River Plate Aruba"", ""awayId"": 232368, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Brazil Juniors"", ""homeId"": 388594, ""id"": 71804354, ""league"": {""name"": ""Aruba - Division Honor"", ""slug"": ""aruba-division-honor""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,SV River Plate Aruba,away,away,0.5,,Bet365,odds_api_io,56.84,31.41,24.75,,,62.13,,,xg_spread,46.606,1.431,2.115,,sstats_form,,insufficient_history,,,,,,
soccer|blooming santa cruz|oriente petrolero|2026-05-31,day_inventory,70379214,soccer,Bolivia - Division Profesional,Oriente Petrolero,Blooming Santa Cruz,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Bolivia - Division Profesional"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|blooming santa cruz|oriente petrolero|2026-05-31"", ""odds_api_io_id"": 70379214, ""raw_event"": {""away"": ""Blooming Santa Cruz"", ""awayId"": 6968, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Oriente Petrolero"", ""homeId"": 33820, ""id"": 70379214, ""league"": {""name"": ""Bolivia - Division Profesional"", ""slug"": ""bolivia-division-profesional""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Blooming Santa Cruz,away,away,-1.25,,Betfair Exchange,odds_api_io,46.28,56.37,64.07,,,68.26,,,xg_spread,172.793,1.268,0.896,,ensemble,,insufficient_history,,,,,,
soccer|democrata mg|rio branco es|2026-05-31,day_inventory,70431590,soccer,Brazil - Brasileiro Serie D,EC Democrata MG,Rio Branco AC ES,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|democrata mg|rio branco es|2026-05-31"", ""odds_api_io_id"": 70431590, ""raw_event"": {""away"": ""Rio Branco AC ES"", ""awayId"": 49199, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""EC Democrata MG"", ""homeId"": 21848, ""id"": 70431590, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,h2h,Rio Branco AC ES,away,away,,,Bet365,odds_api_io,49.83,40.62,33.35,,,70.63,,,soccer_context,41.317,0.951,1.13,,ensemble,,insufficient_history,,,,,,
soccer|inhumas go|se gama df|2026-05-31,day_inventory,70319984,soccer,Brazil - Brasileiro Serie D,Inhumas EC GO,SE Gama DF,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|inhumas go|se gama df|2026-05-31"", ""odds_api_io_id"": 70319984, ""raw_event"": {""away"": ""SE Gama DF"", ""awayId"": 1978, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Inhumas EC GO"", ""homeId"": 511102, ""id"": 70319984, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,dnb,Inhumas EC GO (0),home,home,,,Bet365,odds_api_io,50.22,26.07,20.58,,,63.2,,,h2h_ensemble,42.469,1.009,1.251,,ensemble,,,,,,,,
soccer|ivinhema ms|uberlandia mg|2026-05-31,day_inventory,70322870,soccer,Brazil - Brasileiro Serie D,Ivinhema MS,Uberlandia EC MG,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ivinhema ms|uberlandia mg|2026-05-31"", ""odds_api_io_id"": 70322870, ""raw_event"": {""away"": ""Uberlandia EC MG"", ""awayId"": 32873, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Ivinhema MS"", ""homeId"": 34000, ""id"": 70322870, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Uberlandia EC MG,away,away,-1.0,,Bet365,odds_api_io,49.59,60.35,68.56,,,68.38,,,xg_spread,129.897,1.083,1.041,,ensemble,,insufficient_history,,,,,,
soccer|cra catalano go|operario ms|2026-05-31,day_inventory,70322868,soccer,Brazil - Brasileiro Serie D,Operario FC MS,CRA Catalano GO,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|cra catalano go|operario ms|2026-05-31"", ""odds_api_io_id"": 70322868, ""raw_event"": {""away"": ""CRA Catalano GO"", ""awayId"": 21893, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Operario FC MS"", ""homeId"": 317965, ""id"": 70322868, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,h2h,CRA Catalano GO,away,away,,,pinnacle,bzzoiro,39.23,31.86,23.98,,,91.14,,,soccer_context,100.063,1.175,1.151,,ensemble,,insufficient_history,,,,,,
soccer|cavalry|forge hamilton|2026-05-31,day_inventory,68686002,soccer,Canada - Canadian Premier League,Forge FC Hamilton,Cavalry FC,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Canada - Canadian Premier League"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|cavalry|forge hamilton|2026-05-31"", ""odds_api_io_id"": 68686002, ""raw_event"": {""away"": ""Cavalry FC"", ""awayId"": 543877, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Forge FC Hamilton"", ""homeId"": 543879, ""id"": 68686002, ""league"": {""name"": ""Canada - Canadian Premier League"", ""slug"": ""canada-canadian-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Cavalry FC,away,away,-0.75,,Betfair Exchange,odds_api_io,45.35,49.2,52.22,,,70.08,,,xg_spread,164.777,1.454,0.989,,ensemble,,insufficient_history,,,,,,
soccer|mahaut soca strikers|we united|2026-05-31,day_inventory,71762798,soccer,Dominica - DFA Premier,Mahaut Soca Strikers,We United,2026-05-31T20:00:00+00:00,mid,"{""competition"": ""Dominica - DFA Premier"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|mahaut soca strikers|we united|2026-05-31"", ""odds_api_io_id"": 71762798, ""raw_event"": {""away"": ""We United"", ""awayId"": 750187, ""date"": ""2026-05-31T20:00:00Z"", ""home"": ""Mahaut Soca Strikers"", ""homeId"": 525933, ""id"": 71762798, ""league"": {""name"": ""Dominica - DFA Premier"", ""slug"": ""dominica-dfa-premier""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,We United,away,away,-0.25,,Bet365,odds_api_io,65.53,62.75,62.18,,,50.35,,,market_simple_spreads,33.3,,,,market_signal,,insufficient_history,,,,,,
