match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|alianza lima|cajamarca|2026-05-31,day_inventory,71396976,soccer,Peru - Liga 1,FC Cajamarca,Alianza Lima,2026-05-31T18:15:00+00:00,mid,"{""competition"": ""Peru - Liga 1"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|alianza lima|cajamarca|2026-05-31"", ""odds_api_io_id"": 71396976, ""raw_event"": {""away"": ""Alianza Lima"", ""awayId"": 2311, ""date"": ""2026-05-31T18:15:00Z"", ""home"": ""FC Cajamarca"", ""homeId"": 1065398, ""id"": 71396976, ""league"": {""name"": ""Peru - Liga 1"", ""slug"": ""peru-liga-1""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Alianza Lima,away,away,-1.5,,Betfair Exchange,odds_api_io,49.78,64.18,76.07,,,73.61,,,xg_spread,180.772,1.083,1.061,,ensemble,,insufficient_history,,,,,,
soccer|binacional|csdc alianza universidad|2026-05-31,day_inventory,71378238,soccer,Peru - Liga 2,CSDC Alianza Universidad,Deportivo Binacional FC,2026-05-31T18:15:00+00:00,mid,"{""competition"": ""Peru - Liga 2"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|binacional|csdc alianza universidad|2026-05-31"", ""odds_api_io_id"": 71378238, ""raw_event"": {""away"": ""Deportivo Binacional FC"", ""awayId"": 407335, ""date"": ""2026-05-31T18:15:00Z"", ""home"": ""CSDC Alianza Universidad"", ""homeId"": 524872, ""id"": 71378238, ""league"": {""name"": ""Peru - Liga 2"", ""slug"": ""peru-liga-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CSDC Alianza Universidad,home,home,-2.0,,Betfair Exchange,odds_api_io,64.58,86.32,97.4,,,69.48,,,xg_spread,218.245,1.778,0.32,,sstats,,insufficient_history,,,,,,
soccer|ca rosario central|estudiantes la plata|2026-05-31,day_inventory,71633180,soccer,Argentina - Copa Argentina,Estudiantes de La Plata,CA Rosario Central,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Copa Argentina"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca rosario central|estudiantes la plata|2026-05-31"", ""odds_api_io_id"": 71633180, ""raw_event"": {""away"": ""CA Rosario Central"", ""awayId"": 3217, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""Estudiantes de La Plata"", ""homeId"": 3206, ""id"": 71633180, ""league"": {""name"": ""Argentina - Copa Argentina"", ""slug"": ""argentina-copa-argentina""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CA Rosario Central,away,away,-0.75,,Betfair Exchange,odds_api_io,50.39,59.64,64.15,,,65.86,,,xg_spread,150.726,0.833,0.873,,sstats,,insufficient_history,,,,,,
soccer|ca defensores unidos|csd flandria|2026-05-31,day_inventory,67119356,soccer,Argentina - Primera B,CA Defensores Unidos,CSD Flandria,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Primera B"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca defensores unidos|csd flandria|2026-05-31"", ""odds_api_io_id"": 67119356, ""raw_event"": {""away"": ""CSD Flandria"", ""awayId"": 112505, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""CA Defensores Unidos"", ""homeId"": 93515, ""id"": 67119356, ""league"": {""name"": ""Argentina - Primera B"", ""slug"": ""argentina-primera-b""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CSD Flandria,away,away,-0.5,,Betfair Exchange,odds_api_io,51.01,50.75,50.56,,,66.53,,,xg_spread,122.546,0.971,1.073,,ensemble,,insufficient_history,,,,,,
soccer|ca excursionistas|ca villa san carlos|2026-05-31,day_inventory,67119370,soccer,Argentina - Primera B,CA Villa San Carlos,CA Excursionistas,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Primera B"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca excursionistas|ca villa san carlos|2026-05-31"", ""odds_api_io_id"": 67119370, ""raw_event"": {""away"": ""CA Excursionistas"", ""awayId"": 65672, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""CA Villa San Carlos"", ""homeId"": 107199, ""id"": 67119370, ""league"": {""name"": ""Argentina - Primera B"", ""slug"": ""argentina-primera-b""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CA Excursionistas,away,away,1.0,,Bet365,odds_api_io,47.83,46.44,45.35,,,69.87,,,xg_spread,144.225,1.183,0.966,,ensemble,,insufficient_history,,,,,,
soccer|ca general lamadrid|yupanqui|2026-05-31,day_inventory,67125792,soccer,Argentina - Primera C,CA General Lamadrid,Yupanqui,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Primera C"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca general lamadrid|yupanqui|2026-05-31"", ""odds_api_io_id"": 67125792, ""raw_event"": {""away"": ""Yupanqui"", ""awayId"": 377558, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""CA General Lamadrid"", ""homeId"": 377556, ""id"": 67125792, ""league"": {""name"": ""Argentina - Primera C"", ""slug"": ""argentina-primera-c""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CA General Lamadrid,home,home,-1.0,,Bet365,odds_api_io,57.49,42.07,29.82,,,70.96,,,xg_spread,115.127,1.445,0.696,,ensemble,,insufficient_history,,,,,,
soccer|asd justo jose urquiza|cdm leandro n alem|2026-05-31,day_inventory,67122990,soccer,Argentina - Primera C,CDM Leandro N. Alem,ASD Justo Jose de Urquiza,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Primera C"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|asd justo jose urquiza|cdm leandro n alem|2026-05-31"", ""odds_api_io_id"": 67122990, ""raw_event"": {""away"": ""ASD Justo Jose de Urquiza"", ""awayId"": 211856, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""CDM Leandro N. Alem"", ""homeId"": 337371, ""id"": 67122990, ""league"": {""name"": ""Argentina - Primera C"", ""slug"": ""argentina-primera-c""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,ASD Justo Jose de Urquiza,away,away,0.75,,Bet365,odds_api_io,49.84,33.74,26.42,,,62.58,,,xg_spread,48.227,0.889,0.873,,sstats,,insufficient_history,,,,,,
soccer|almagro|ca guemes|2026-05-31,day_inventory,67118428,soccer,Argentina - Primera Nacional,Club Almagro,CA Guemes,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Primera Nacional"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|almagro|ca guemes|2026-05-31"", ""odds_api_io_id"": 67118428, ""raw_event"": {""away"": ""CA Guemes"", ""awayId"": 266889, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""Club Almagro"", ""homeId"": 4938, ""id"": 67118428, ""league"": {""name"": ""Argentina - Primera Nacional"", ""slug"": ""argentina-primera-nacional""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CA Guemes,away,away,-0.75,,Betfair Exchange,odds_api_io,48.29,46.86,46.54,,,62.02,,,xg_spread,126.108,1.204,1.033,,ensemble,,insufficient_history,,,,,,
soccer|ca bartolome mitre|ca boca unidos corrientes|2026-05-31,day_inventory,69614692,soccer,Argentina - Torneo Federal A,CA Boca Unidos Corrientes,CA Bartolome Mitre,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Torneo Federal A"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca bartolome mitre|ca boca unidos corrientes|2026-05-31"", ""odds_api_io_id"": 69614692, ""raw_event"": {""away"": ""CA Bartolome Mitre"", ""awayId"": 855135, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""CA Boca Unidos Corrientes"", ""homeId"": 36835, ""id"": 69614692, ""league"": {""name"": ""Argentina - Torneo Federal A"", ""slug"": ""argentina-torneo-federal-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,h2h,CA Boca Unidos Corrientes,home,home,,,Unibet,odds_api_io,42.74,37.55,35.24,,,58.59,,,soccer_context,13.092,1.021,0.828,,sstats,,insufficient_history,,,,,,
soccer|douglas haig|gimnasia y esgrima concepcion uruguay|2026-05-31,day_inventory,69614360,soccer,Argentina - Torneo Federal A,Douglas Haig,Gimnasia y Esgrima de Concepcion del Uruguay,2026-05-31T18:30:00+00:00,mid,"{""competition"": ""Argentina - Torneo Federal A"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|douglas haig|gimnasia y esgrima concepcion uruguay|2026-05-31"", ""odds_api_io_id"": 69614360, ""raw_event"": {""away"": ""Gimnasia y Esgrima de Concepcion del Uruguay"", ""awayId"": 93517, ""date"": ""2026-05-31T18:30:00Z"", ""home"": ""Douglas Haig"", ""homeId"": 76199, ""id"": 69614360, ""league"": {""name"": ""Argentina - Torneo Federal A"", ""slug"": ""argentina-torneo-federal-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Douglas Haig,home,home,-2.0,,Unibet,odds_api_io,61.85,38.52,27.78,,,63.65,,,xg_spread,72.926,1.569,0.384,,sstats,,insufficient_history,,,,,,
