match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|argentino merlo|cs italiano|2026-05-31,day_inventory,67119366,soccer,Argentina - Primera B,CS Italiano,Argentino de Merlo,2026-05-31T17:30:00+00:00,mid,"{""competition"": ""Argentina - Primera B"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|argentino merlo|cs italiano|2026-05-31"", ""odds_api_io_id"": 67119366, ""raw_event"": {""away"": ""Argentino de Merlo"", ""awayId"": 210370, ""date"": ""2026-05-31T17:30:00Z"", ""home"": ""CS Italiano"", ""homeId"": 36843, ""id"": 67119366, ""league"": {""name"": ""Argentina - Primera B"", ""slug"": ""argentina-primera-b""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CS Italiano,home,home,-1.0,,Betfair Exchange,odds_api_io,54.53,55.65,56.54,,,71.18,,,xg_spread,192.673,1.266,0.813,,ensemble,,insufficient_history,,,,,,
soccer|ca talleres remedios|camioneros|2026-05-31,day_inventory,67119364,soccer,Argentina - Primera B,Deportivo Camioneros,CA Talleres de Remedios,2026-05-31T17:30:00+00:00,mid,"{""competition"": ""Argentina - Primera B"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca talleres remedios|camioneros|2026-05-31"", ""odds_api_io_id"": 67119364, ""raw_event"": {""away"": ""CA Talleres de Remedios"", ""awayId"": 210418, ""date"": ""2026-05-31T17:30:00Z"", ""home"": ""Deportivo Camioneros"", ""homeId"": 336147, ""id"": 67119364, ""league"": {""name"": ""Argentina - Primera B"", ""slug"": ""argentina-primera-b""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CA Talleres de Remedios,away,away,0.75,,Bet365,odds_api_io,46.29,39.69,34.71,,,67.6,,,xg_spread,107.892,1.221,0.85,,ensemble,,insufficient_history,,,,,,
soccer|garcia agreda|municipal tarija|2026-05-31,day_inventory,71827138,soccer,Bolivia - Copa Simon Bolivar,Garcia Agreda,CD Municipal Tarija,2026-05-31T17:30:00+00:00,mid,"{""competition"": ""Bolivia - Copa Simon Bolivar"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|garcia agreda|municipal tarija|2026-05-31"", ""odds_api_io_id"": 71827138, ""raw_event"": {""away"": ""CD Municipal Tarija"", ""awayId"": 1017481, ""date"": ""2026-05-31T17:30:00Z"", ""home"": ""Garcia Agreda"", ""homeId"": 757388, ""id"": 71827138, ""league"": {""name"": ""Bolivia - Copa Simon Bolivar"", ""slug"": ""bolivia-copa-simon-bolivar""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,totals,Меньше,under,,3.0,,Bet365,odds_api_io,78.25,52.85,47.37,,,57.73,,,xg_total,27.783,1.31,1.072,,clubelo,,insufficient_history,,,,,,
soccer|chindia targoviste|farul constanta|2026-05-31,day_inventory,71604166,soccer,Romania - Superliga,FC Farul Constanta,AFC Chindia Targoviste,2026-05-31T17:30:00+00:00,mid,"{""competition"": ""Romania - Superliga"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|chindia targoviste|farul constanta|2026-05-31"", ""odds_api_io_id"": 71604166, ""raw_event"": {""away"": ""AFC Chindia Targoviste"", ""awayId"": 56127, ""date"": ""2026-05-31T17:30:00Z"", ""home"": ""FC Farul Constanta"", ""homeId"": 3294, ""id"": 71604166, ""league"": {""name"": ""Romania - Superliga"", ""slug"": ""romania-superliga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,FC Farul Constanta,home,home,-2.0,,Unibet,odds_api_io,52.7,77.18,98.0,,,75.56,,,xg_spread,213.067,1.499,1.229,,ensemble,,insufficient_history,,,,,,
soccer|atletico levante|la nucia|2026-05-31,day_inventory,71753242,soccer,"Spain Amateur - Tercera Federacion, Group 6",CF La Nucia,Atletico Levante UD,2026-05-31T17:30:00+00:00,mid,"{""competition"": ""Spain Amateur - Tercera Federacion, Group 6"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|atletico levante|la nucia|2026-05-31"", ""odds_api_io_id"": 71753242, ""raw_event"": {""away"": ""Atletico Levante UD"", ""awayId"": 77407, ""date"": ""2026-05-31T17:30:00Z"", ""home"": ""CF La Nucia"", ""homeId"": 369248, ""id"": 71753242, ""league"": {""name"": ""Spain Amateur - Tercera Federacion, Group 6"", ""slug"": ""spain-amateur-tercera-federacion-group-6""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,h2h,Atletico Levante UD,away,away,,,Sbobet,odds_api_io,42.14,44.14,46.3,,,91.42,,,soccer_context,86.191,0.933,0.997,,ensemble,,insufficient_history,,,,,,
soccer|ca acassuso|madryn|2026-05-31,day_inventory,67117708,soccer,Argentina - Primera Nacional,Deportivo Madryn,CA Acassuso,2026-05-31T18:00:00+00:00,mid,"{""competition"": ""Argentina - Primera Nacional"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca acassuso|madryn|2026-05-31"", ""odds_api_io_id"": 67117708, ""raw_event"": {""away"": ""CA Acassuso"", ""awayId"": 112491, ""date"": ""2026-05-31T18:00:00Z"", ""home"": ""Deportivo Madryn"", ""homeId"": 258463, ""id"": 67117708, ""league"": {""name"": ""Argentina - Primera Nacional"", ""slug"": ""argentina-primera-nacional""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Deportivo Madryn,home,home,-1.0,,Bet365,odds_api_io,58.13,53.63,50.13,,,69.8,,,xg_spread,32.486,1.491,0.678,,ensemble,,insufficient_history,,,,,,
soccer|ca linqueno|cas defensores belgrano|2026-05-31,day_inventory,69614358,soccer,Argentina - Torneo Federal A,CA Linqueno,CAS Defensores de Belgrano,2026-05-31T18:00:00+00:00,mid,"{""competition"": ""Argentina - Torneo Federal A"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ca linqueno|cas defensores belgrano|2026-05-31"", ""odds_api_io_id"": 69614358, ""raw_event"": {""away"": ""CAS Defensores de Belgrano"", ""awayId"": 260593, ""date"": ""2026-05-31T18:00:00Z"", ""home"": ""CA Linqueno"", ""homeId"": 354960, ""id"": 69614358, ""league"": {""name"": ""Argentina - Torneo Federal A"", ""slug"": ""argentina-torneo-federal-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CA Linqueno,home,home,-1.0,,Unibet,odds_api_io,35.99,35.24,35.09,,,53.09,,,market_simple_spreads,14.788,,,,market_signal,,insufficient_history,,,,,,
soccer|cdc nicanor otamendi|villa mitre bahia blanca|2026-05-31,day_inventory,69617326,soccer,Argentina - Torneo Federal A,CDC Nicanor Otamendi,Villa Mitre de Bahia Blanca,2026-05-31T18:00:00+00:00,mid,"{""competition"": ""Argentina - Torneo Federal A"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|cdc nicanor otamendi|villa mitre bahia blanca|2026-05-31"", ""odds_api_io_id"": 69617326, ""raw_event"": {""away"": ""Villa Mitre de Bahia Blanca"", ""awayId"": 269551, ""date"": ""2026-05-31T18:00:00Z"", ""home"": ""CDC Nicanor Otamendi"", ""homeId"": 564930, ""id"": 69617326, ""league"": {""name"": ""Argentina - Torneo Federal A"", ""slug"": ""argentina-torneo-federal-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|argentino monte maiz|costa brava general pico|2026-05-31,day_inventory,69615758,soccer,Argentina - Torneo Federal A,Costa Brava de General Pico,CD Argentino Monte Maiz,2026-05-31T18:00:00+00:00,mid,"{""competition"": ""Argentina - Torneo Federal A"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|argentino monte maiz|costa brava general pico|2026-05-31"", ""odds_api_io_id"": 69615758, ""raw_event"": {""away"": ""CD Argentino Monte Maiz"", ""awayId"": 854829, ""date"": ""2026-05-31T18:00:00Z"", ""home"": ""Costa Brava de General Pico"", ""homeId"": 672871, ""id"": 69615758, ""league"": {""name"": ""Argentina - Torneo Federal A"", ""slug"": ""argentina-torneo-federal-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|csd sol mayo|santamarina tandil|2026-05-31,day_inventory,69617322,soccer,Argentina - Torneo Federal A,CSD Sol de Mayo,CD Santamarina Tandil,2026-05-31T18:00:00+00:00,mid,"{""competition"": ""Argentina - Torneo Federal A"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|csd sol mayo|santamarina tandil|2026-05-31"", ""odds_api_io_id"": 69617322, ""raw_event"": {""away"": ""CD Santamarina Tandil"", ""awayId"": 165912, ""date"": ""2026-05-31T18:00:00Z"", ""home"": ""CSD Sol de Mayo"", ""homeId"": 337369, ""id"": 69617322, ""league"": {""name"": ""Argentina - Torneo Federal A"", ""slug"": ""argentina-torneo-federal-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CSD Sol de Mayo,home,home,-0.25,,Bet365,odds_api_io,56.66,55.14,54.79,,,60.03,,,xg_spread,17.181,1.415,0.749,,ensemble,,insufficient_history,,,,,,
