match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|everton vina mar|o higgins|2026-05-31,day_inventory,67681890,soccer,Chile - Primera Division,CD O´Higgins,CD Everton Vina del Mar,2026-05-31T21:30:00+00:00,mid,"{""competition"": ""Chile - Primera Division"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|everton vina mar|o higgins|2026-05-31"", ""odds_api_io_id"": 67681890, ""raw_event"": {""away"": ""CD Everton Vina del Mar"", ""awayId"": 5032, ""date"": ""2026-05-31T21:30:00Z"", ""home"": ""CD O´Higgins"", ""homeId"": 3163, ""id"": 67681890, ""league"": {""name"": ""Chile - Primera Division"", ""slug"": ""chile-primera-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CD O´Higgins,home,home,-1.5,,Betfair Exchange,odds_api_io,50.79,64.72,76.78,,,76.72,,,xg_spread,171.078,1.337,1.258,,ensemble,,insufficient_history,,,,,,
soccer|maldonado|nacional|2026-05-31,day_inventory,71737092,soccer,Uruguay - Primera Division,Deportivo Maldonado,Club Nacional de Football,2026-05-31T21:30:00+00:00,mid,"{""competition"": ""Uruguay - Primera Division"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|maldonado|nacional|2026-05-31"", ""odds_api_io_id"": 71737092, ""raw_event"": {""away"": ""Club Nacional de Football"", ""awayId"": 3230, ""date"": ""2026-05-31T21:30:00Z"", ""home"": ""Deportivo Maldonado"", ""homeId"": 3234, ""id"": 71737092, ""league"": {""name"": ""Uruguay - Primera Division"", ""slug"": ""uruguay-primera-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Club Nacional de Football,away,away,-1.25,,Betfair Exchange,odds_api_io,46.79,62.41,74.5,,,69.25,,,xg_spread,204.286,1.508,1.187,,ensemble,,insufficient_history,,,,,,
soccer|south georgia tormenta|wake|2026-05-31,day_inventory,68989218,soccer,USA - USL W League,South Georgia Tormenta FC,Wake FC,2026-05-31T21:30:00+00:00,mid,"{""competition"": ""USA - USL W League"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|south georgia tormenta|wake|2026-05-31"", ""odds_api_io_id"": 68989218, ""raw_event"": {""away"": ""Wake FC"", ""awayId"": 552775, ""date"": ""2026-05-31T21:30:00Z"", ""home"": ""South Georgia Tormenta FC"", ""homeId"": 912019, ""id"": 68989218, ""league"": {""name"": ""USA - USL W League"", ""slug"": ""usa-usl-w-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|arsenal sarandi|csd san martin|2026-05-31,day_inventory,67119368,soccer,Argentina - Primera B,CSD San Martin,Arsenal de Sarandi,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""Argentina - Primera B"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|arsenal sarandi|csd san martin|2026-05-31"", ""odds_api_io_id"": 67119368, ""raw_event"": {""away"": ""Arsenal de Sarandi"", ""awayId"": 3221, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""CSD San Martin"", ""homeId"": 388242, ""id"": 67119368, ""league"": {""name"": ""Argentina - Primera B"", ""slug"": ""argentina-primera-b""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Arsenal de Sarandi,away,away,1.0,,Bet365,odds_api_io,51.83,46.79,42.81,,,70.52,,,xg_spread,158.944,0.877,1.06,,ensemble,,insufficient_history,,,,,,
soccer|atlantico|estudiantes aruba|2026-05-31,day_inventory,71804356,soccer,Aruba - Division Honor,Estudiantes Aruba,Atlantico Deportivo,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""Aruba - Division Honor"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|atlantico|estudiantes aruba|2026-05-31"", ""odds_api_io_id"": 71804356, ""raw_event"": {""away"": ""Atlantico Deportivo"", ""awayId"": 1111451, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""Estudiantes Aruba"", ""homeId"": 867045, ""id"": 71804356, ""league"": {""name"": ""Aruba - Division Honor"", ""slug"": ""aruba-division-honor""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Estudiantes Aruba,home,home,0.0,,Bet365,odds_api_io,53.06,27.38,21.43,,,65.4,,,xg_spread,47.824,1.829,1.523,,ensemble,,insufficient_history,,,,,,
soccer|if sao joseense pr|sao jose rs|2026-05-31,day_inventory,70323326,soccer,Brazil - Brasileiro Serie D,EC Sao Jose RS,IF Sao Joseense PR,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|if sao joseense pr|sao jose rs|2026-05-31"", ""odds_api_io_id"": 70323326, ""raw_event"": {""away"": ""IF Sao Joseense PR"", ""awayId"": 565594, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""EC Sao Jose RS"", ""homeId"": 32767, ""id"": 70323326, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,EC Sao Jose RS,home,home,-1.0,,Unibet,odds_api_io,48.88,49.43,49.84,,,68.38,,,xg_spread,119.101,1.043,1.155,,ensemble,,insufficient_history,,,,,,
soccer|santa cruz mt|sinop mt|2026-05-31,day_inventory,71674868,soccer,"Brazil - Mato-Grossense, 2. Divisao",Sinop MT,Santa Cruz EC MT,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""Brazil - Mato-Grossense, 2. Divisao"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|santa cruz mt|sinop mt|2026-05-31"", ""odds_api_io_id"": 71674868, ""raw_event"": {""away"": ""Santa Cruz EC MT"", ""awayId"": 751815, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""Sinop MT"", ""homeId"": 255235, ""id"": 71674868, ""league"": {""name"": ""Brazil - Mato-Grossense, 2. Divisao"", ""slug"": ""brazil-mato-grossense-2-divisao""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|cienciano|sporting cristal|2026-05-31,day_inventory,71396986,soccer,Peru - Liga 1,Cienciano,Sporting Cristal,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""Peru - Liga 1"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|cienciano|sporting cristal|2026-05-31"", ""odds_api_io_id"": 71396986, ""raw_event"": {""away"": ""Sporting Cristal"", ""awayId"": 2302, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""Cienciano"", ""homeId"": 2301, ""id"": 71396986, ""league"": {""name"": ""Peru - Liga 1"", ""slug"": ""peru-liga-1""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Cienciano,home,home,-1.75,,Betfair Exchange,odds_api_io,49.58,69.75,86.69,,,74.69,,,xg_spread,156.611,1.188,1.23,,ensemble,,insufficient_history,,,,,,
soccer|ds edusoccer|taurinos cayey|2026-05-31,day_inventory,69289868,soccer,Puerto Rico - LPR Pro,Taurinos Cayey,Ds Edusoccer,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""Puerto Rico - LPR Pro"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|ds edusoccer|taurinos cayey|2026-05-31"", ""odds_api_io_id"": 69289868, ""raw_event"": {""away"": ""Ds Edusoccer"", ""awayId"": 1290273, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""Taurinos Cayey"", ""homeId"": 1290269, ""id"": 69289868, ""league"": {""name"": ""Puerto Rico - LPR Pro"", ""slug"": ""puerto-rico-lpr-pro""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|chicago dutch lions|edgewater castle|2026-05-31,day_inventory,69091332,soccer,USA - USL League Two,Chicago Dutch Lions FC,Edgewater Castle,2026-05-31T22:00:00+00:00,mid,"{""competition"": ""USA - USL League Two"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|chicago dutch lions|edgewater castle|2026-05-31"", ""odds_api_io_id"": 69091332, ""raw_event"": {""away"": ""Edgewater Castle"", ""awayId"": 1329170, ""date"": ""2026-05-31T22:00:00Z"", ""home"": ""Chicago Dutch Lions FC"", ""homeId"": 874789, ""id"": 69091332, ""league"": {""name"": ""USA - USL League Two"", ""slug"": ""usa-usl-league-two""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Edgewater Castle,away,away,1.5,,Bet365,odds_api_io,54.76,28.93,22.16,,,62.18,,,xg_spread,50.953,1.784,2.26,,sstats_form,,insufficient_history,,,,,,
